name	x	y	z
1-A1	10.911142	-1.379426	81.954127
1-A2	-2.821758	-3.838126	82.870827
1-A3	-17.928558	-5.232526	81.965927
1-A4	-33.287558	-5.807726	78.023127
1-A5	-45.270658	19.841374	71.359527
1-A6	-33.517858	41.055474	68.803427
1-A7	-44.149958	47.419774	58.196827
1-A8	-59.477658	42.308574	47.490927
1-A9	-65.240758	46.808874	31.388427
1-A10	-70.144658	47.006574	17.058027
1-A11	-73.882058	46.638574	-1.515573
1-A12	-74.735458	44.774174	-15.422973
1-A13	-88.386258	21.753874	-7.997673
1-A14	-87.470758	22.776274	7.471627
1-A15	-81.860358	22.555874	21.954727
1-A16	-76.290558	21.687274	35.528027
1-A17	-68.593158	20.644174	50.939227
1-A18	-57.684758	23.828574	61.878227
1-A19	-47.260958	-5.821026	71.566527
1-A20	-60.142558	-7.305626	61.941827
1-A21	-69.285158	-7.950226	51.630227
1-A22	-77.761458	-7.397926	37.680627
1-A23	-84.424458	-7.343826	20.866227
1-A24	-88.025558	-5.774526	7.020127
1-A25	-88.316858	-5.690226	-9.096073
1-A26	-81.141558	-31.156826	-11.421473
1-A27	-80.564158	-33.106126	4.879727
1-A28	-76.869558	-35.486226	20.200127
1-A29	-71.809658	-35.739826	34.915427
1-A30	-64.150858	-34.068626	48.770127
1-A31	-52.735858	-35.379526	61.369327
1-A32	-43.336958	-30.557926	69.831527
1-B1	7.743342	-17.296126	80.045827
1-B2	-8.689858	-24.755326	79.798127
1-B3	-27.635458	-47.775426	66.147527
1-B5	-48.004758	-54.298926	45.345427
1-B6	-53.054958	-57.246026	31.237627
1-B7	-56.290858	-58.171326	14.054827
1-B8	-59.806558	-56.753426	-2.698673
1-B9	-62.737058	-53.108326	-19.373073
1-B10	-41.552858	-67.243426	-9.209173
1-B11	-35.051558	-69.577126	9.245127
1-B12	-32.731258	-68.197426	24.300227
1-B13	-29.458658	-65.111826	40.251227
1-B14	-15.233658	-75.966626	1.675427
1-B15	-11.526258	-73.341226	17.691927
1-B16	-8.585058	-69.565626	33.505327
1-B17	-9.743958	-64.346226	47.237727
1-B18	-7.718758	-55.241526	60.767627
1-B19	-7.221058	-44.314626	70.791227
1-B20	12.053942	-30.295926	75.665527
1-B21	13.467142	-44.862326	67.503927
1-B23	15.645542	-65.012726	40.926527
1-B24	15.017542	-69.775926	27.683627
1-B25	12.579342	-74.645826	11.765527
1-B26	12.428342	-76.839526	-2.062173
1-B27	37.091942	-72.181626	-3.995673
1-B29	37.815842	-64.903126	26.691027
1-B31	37.548442	-48.850026	53.624527
1-B32	33.856642	-39.960626	63.478427
1-C1	24.905942	-10.205926	77.580327
1-C2	34.759342	-20.182226	72.654327
1-C3	55.406842	-38.554726	54.733727
1-C4	61.836542	-43.862126	42.850327
1-C7	63.073242	-60.833726	-2.104773
1-C11	49.823342	-21.178026	65.215727
1-C12	65.598442	-19.181226	57.603327
1-C13	78.510542	-20.281526	45.921827
1-C14	88.273342	-19.266526	33.425627
1-C19	89.952042	5.923774	34.746427
1-C20	80.161742	3.696174	47.259627
1-C21	68.429442	1.706474	58.476527
1-C22	54.372342	0.667074	66.402927
1-C23	39.134142	-0.055526	72.990827
1-C24	48.315842	21.775774	65.155027
1-C25	61.931042	22.742774	55.828527
1-C26	73.731242	26.295174	45.973427
1-C27	82.723942	28.564874	33.952527
1-C28	88.512842	30.814674	20.156527
1-C31	70.389842	50.274374	20.355327
1-C32	68.263642	44.514474	33.652527
1-D1	23.067842	7.563374	78.784727
1-D2	33.668342	19.328574	72.095327
1-D3	46.856642	38.518574	55.829627
1-D4	52.928342	45.689374	45.371427
1-D5	44.811242	58.169874	32.569927
1-D6	46.932642	64.492074	16.555127
1-D7	48.500942	66.564074	0.717827
1-D8	20.707042	74.866474	1.412427
1-D9	22.805342	71.995574	18.722527
1-D10	25.382642	66.210474	30.815227
1-D11	26.108642	58.763474	44.139227
