onset	duration	sample	value
0.4062500000	n/a	208	9633791
0.8164062500	n/a	418	LHS
1.1054687500	n/a	566	RTO
1.5742187500	n/a	806	RHS
1.8671875000	n/a	956	LTO
2.3007812500	n/a	1178	LHS
2.5917968750	n/a	1327	RTO
3.0683593750	n/a	1571	RHS
3.3554687500	n/a	1718	LTO
3.7675781250	n/a	1929	LHS
4.0527343750	n/a	2075	RTO
4.4941406250	n/a	2301	RHS
4.6542968750	n/a	2383	TRIG
4.7929687500	n/a	2454	LTO
5.2011718750	n/a	2663	LHS
5.4843750000	n/a	2808	RTO
5.9277343750	n/a	3035	RHS
6.2109375000	n/a	3180	LTO
6.6542968750	n/a	3407	TRIG
6.6621093750	n/a	3411	LHS
6.9472656250	n/a	3557	RTO
7.4199218750	n/a	3799	RHS
7.7031250000	n/a	3944	LTO
8.1464843750	n/a	4171	LHS
8.4375000000	n/a	4320	RTO
8.6523437500	n/a	4430	TRIG
8.8769531250	n/a	4545	RHS
9.1542968750	n/a	4687	LTO
9.6054687500	n/a	4918	LHS
9.9238281250	n/a	5081	RTO
10.3300781250	n/a	5289	RHS
10.6347656250	n/a	5445	LTO
10.6523437500	n/a	5454	TRIG
11.0722656250	n/a	5669	LHS
11.3945312500	n/a	5834	RTO
11.8417968750	n/a	6063	RHS
12.1015625000	n/a	6196	LTO
12.5722656250	n/a	6437	LHS
12.6523437500	n/a	6478	TRIG
12.8613281250	n/a	6585	RTO
13.4003906250	n/a	6861	RHS
13.6718750000	n/a	7000	LTO
14.1152343750	n/a	7227	LHS
14.4003906250	n/a	7373	RTO
14.6523437500	n/a	7502	TRIG
14.8886718750	n/a	7623	RHS
15.1875000000	n/a	7776	LTO
15.6230468750	n/a	7999	LHS
15.9257812500	n/a	8154	RTO
16.3222656250	n/a	8357	RHS
16.6523437500	n/a	8526	TRIG
16.6679687500	n/a	8534	LTO
17.1054687500	n/a	8758	LHS
17.4238281250	n/a	8921	RTO
17.8750000000	n/a	9152	RHS
18.1601562500	n/a	9298	LTO
18.6308593750	n/a	9539	LHS
18.6523437500	n/a	9550	TRIG
18.9511718750	n/a	9703	RTO
19.3300781250	n/a	9897	RHS
19.6621093750	n/a	10067	LTO
20.0898437500	n/a	10286	LHS
20.3496093750	n/a	10419	RTO
20.6523437500	n/a	10574	TRIG
20.7363281250	n/a	10617	RHS
21.0859375000	n/a	10796	LTO
21.5664062500	n/a	11042	LHS
21.8886718750	n/a	11207	RTO
22.2089843750	n/a	11371	RHS
22.5253906250	n/a	11533	LTO
22.6523437500	n/a	11598	TRIG
22.9921875000	n/a	11772	LHS
23.2910156250	n/a	11925	RTO
23.6992187500	n/a	12134	RHS
23.9941406250	n/a	12285	LTO
24.4375000000	n/a	12512	LHS
24.6523437500	n/a	12622	TRIG
24.7558593750	n/a	12675	RTO
25.1621093750	n/a	12883	RHS
25.4726562500	n/a	13042	LTO
25.8945312500	n/a	13258	LHS
26.2246093750	n/a	13427	RTO
26.5546875000	n/a	13596	RHS
26.6523437500	n/a	13646	TRIG
26.8925781250	n/a	13769	LTO
27.3632812500	n/a	14010	LHS
27.6699218750	n/a	14167	RTO
28.0976562500	n/a	14386	RHS
28.3906250000	n/a	14536	LTO
28.6523437500	n/a	14670	TRIG
28.8359375000	n/a	14764	LHS
29.1601562500	n/a	14930	RTO
29.5273437500	n/a	15118	RHS
29.8515625000	n/a	15284	LTO
30.3457031250	n/a	15537	LHS
30.6289062500	n/a	15682	RTO
30.6523437500	n/a	15694	TRIG
30.9746093750	n/a	15859	RHS
31.2714843750	n/a	16011	LTO
31.7910156250	n/a	16277	LHS
32.0957031250	n/a	16433	RTO
32.4238281250	n/a	16601	RHS
32.6523437500	n/a	16718	TRIG
32.7617187500	n/a	16774	LTO
33.1933593750	n/a	16995	LHS
33.4960937500	n/a	17150	RTO
33.8730468750	n/a	17343	RHS
34.2011718750	n/a	17511	LTO
34.6523437500	n/a	17742	TRIG
34.6562500000	n/a	17744	LHS
34.9414062500	n/a	17890	RTO
35.3007812500	n/a	18074	RHS
35.6191406250	n/a	18237	LTO
36.0683593750	n/a	18467	LHS
36.4902343750	n/a	18683	RTO
36.6523437500	n/a	18766	TRIG
36.7890625000	n/a	18836	RHS
37.1015625000	n/a	18996	LTO
37.5839843750	n/a	19243	LHS
37.8769531250	n/a	19393	RTO
38.2558593750	n/a	19587	RHS
38.5761718750	n/a	19751	LTO
38.6523437500	n/a	19790	TRIG
39.0449218750	n/a	19991	LHS
39.3691406250	n/a	20157	RTO
39.7812500000	n/a	20368	RHS
40.0898437500	n/a	20526	LTO
40.5253906250	n/a	20749	LHS
40.6523437500	n/a	20814	TRIG
40.8359375000	n/a	20908	RTO
41.2207031250	n/a	21105	RHS
41.5390625000	n/a	21268	LTO
41.9492187500	n/a	21478	LHS
42.2363281250	n/a	21625	RTO
42.6523437500	n/a	21838	TRIG
42.6542968750	n/a	21839	RHS
42.9570312500	n/a	21994	LTO
43.5078125000	n/a	22276	LHS
43.7949218750	n/a	22423	RTO
44.2031250000	n/a	22632	RHS
44.4433593750	n/a	22755	LTO
44.6523437500	n/a	22862	TRIG
44.9355468750	n/a	23007	LHS
45.2402343750	n/a	23163	RTO
45.6074218750	n/a	23351	RHS
45.9003906250	n/a	23501	LTO
46.3750000000	n/a	23744	LHS
46.6425781250	n/a	23881	RTO
46.6523437500	n/a	23886	TRIG
47.0410156250	n/a	24085	RHS
47.4062500000	n/a	24272	LTO
47.8652343750	n/a	24507	LHS
48.1425781250	n/a	24649	RTO
48.5625000000	n/a	24864	RHS
48.6523437500	n/a	24910	TRIG
48.8769531250	n/a	25025	LTO
49.4335937500	n/a	25310	LHS
49.7167968750	n/a	25455	RTO
50.2539062500	n/a	25730	RHS
50.4042968750	n/a	25807	LTO
50.6523437500	n/a	25934	TRIG
50.8632812500	n/a	26042	LHS
51.1933593750	n/a	26211	RTO
51.5722656250	n/a	26405	RHS
51.9453125000	n/a	26596	LTO
52.4316406250	n/a	26845	LHS
52.6523437500	n/a	26958	TRIG
52.7187500000	n/a	26992	RTO
53.0937500000	n/a	27184	RHS
53.3925781250	n/a	27337	LTO
53.9023437500	n/a	27598	LHS
54.2187500000	n/a	27760	RTO
54.5273437500	n/a	27918	RHS
54.6523437500	n/a	27982	TRIG
54.8632812500	n/a	28090	LTO
55.4199218750	n/a	28375	LHS
55.7187500000	n/a	28528	RTO
56.0175781250	n/a	28681	RHS
56.3671875000	n/a	28860	LTO
56.6523437500	n/a	29006	TRIG
56.9003906250	n/a	29133	LHS
57.2187500000	n/a	29296	RTO
57.5664062500	n/a	29474	RHS
57.8925781250	n/a	29641	LTO
58.3925781250	n/a	29897	LHS
58.6523437500	n/a	30030	TRIG
58.6699218750	n/a	30039	RTO
59.0292968750	n/a	30223	RHS
59.3710937500	n/a	30398	LTO
59.8828125000	n/a	30660	LHS
60.0976562500	n/a	30770	RTO
60.4921875000	n/a	30972	RHS
60.6523437500	n/a	31054	TRIG
60.8261718750	n/a	31143	LTO
61.4042968750	n/a	31439	LHS
61.6210937500	n/a	31550	RTO
62.0410156250	n/a	31765	RHS
62.3535156250	n/a	31925	LTO
62.6523437500	n/a	32078	TRIG
62.8417968750	n/a	32175	LHS
63.1230468750	n/a	32319	RTO
63.5898437500	n/a	32558	RHS
63.8769531250	n/a	32705	LTO
64.3828125000	n/a	32964	LHS
64.6230468750	n/a	33087	RTO
64.6523437500	n/a	33102	TRIG
65.0234375000	n/a	33292	RHS
65.3105468750	n/a	33439	LTO
65.8867187500	n/a	33734	LHS
66.1230468750	n/a	33855	RTO
66.4863281250	n/a	34041	RHS
66.6523437500	n/a	34126	TRIG
66.8378906250	n/a	34221	LTO
67.4199218750	n/a	34519	LHS
67.6972656250	n/a	34661	RTO
68.0644531250	n/a	34849	RHS
68.3281250000	n/a	34984	LTO
68.6523437500	n/a	35150	TRIG
68.8710937500	n/a	35262	LHS
69.1484375000	n/a	35404	RTO
69.4687500000	n/a	35568	RHS
