onset	duration	sample	value
0.2187500000	n/a	112	9633791
1.6738281250	n/a	857	RHS
1.9316406250	n/a	989	LTO
2.3691406250	n/a	1213	LHS
2.6269531250	n/a	1345	RTO
3.0390625000	n/a	1556	RHS
3.2871093750	n/a	1683	LTO
3.7070312500	n/a	1898	LHS
3.9042968750	n/a	1999	TRIG
3.9648437500	n/a	2030	RTO
4.4140625000	n/a	2260	RHS
4.6601562500	n/a	2386	LTO
5.1738281250	n/a	2649	LHS
5.4199218750	n/a	2775	RTO
5.8281250000	n/a	2984	RHS
5.9042968750	n/a	3023	TRIG
6.0781250000	n/a	3112	LTO
6.5507812500	n/a	3354	LHS
6.7968750000	n/a	3480	RTO
7.2558593750	n/a	3715	RHS
7.5000000000	n/a	3840	LTO
7.9042968750	n/a	4047	TRIG
7.9667968750	n/a	4079	LHS
8.2109375000	n/a	4204	RTO
8.6503906250	n/a	4429	RHS
8.9023437500	n/a	4558	LTO
9.3320312500	n/a	4778	LHS
9.5761718750	n/a	4903	RTO
9.9042968750	n/a	5071	TRIG
10.0312500000	n/a	5136	RHS
10.2656250000	n/a	5256	LTO
10.7675781250	n/a	5513	LHS
11.0136718750	n/a	5639	RTO
11.4453125000	n/a	5860	RHS
11.6777343750	n/a	5979	LTO
11.9042968750	n/a	6095	TRIG
12.1464843750	n/a	6219	LHS
12.3867187500	n/a	6342	RTO
12.8027343750	n/a	6555	RHS
13.0527343750	n/a	6683	LTO
13.5449218750	n/a	6935	LHS
13.7792968750	n/a	7055	RTO
13.9042968750	n/a	7119	TRIG
14.2187500000	n/a	7280	RHS
14.4570312500	n/a	7402	LTO
14.9160156250	n/a	7637	LHS
15.1386718750	n/a	7751	RTO
15.5820312500	n/a	7978	RHS
15.8378906250	n/a	8109	LTO
15.9042968750	n/a	8143	TRIG
16.2597656250	n/a	8325	LHS
16.5214843750	n/a	8459	RTO
16.9687500000	n/a	8688	RHS
17.2089843750	n/a	8811	LTO
17.7324218750	n/a	9079	LHS
17.9042968750	n/a	9167	TRIG
17.9902343750	n/a	9211	RTO
18.4023437500	n/a	9422	RHS
18.6542968750	n/a	9551	LTO
19.1113281250	n/a	9785	LHS
19.3535156250	n/a	9909	RTO
19.7773437500	n/a	10126	RHS
19.9023437500	n/a	10190	TRIG
20.0468750000	n/a	10264	LTO
20.4960937500	n/a	10494	LHS
20.7480468750	n/a	10623	RTO
21.1679687500	n/a	10838	RHS
21.4296875000	n/a	10972	LTO
21.8808593750	n/a	11203	LHS
21.9023437500	n/a	11214	TRIG
22.1152343750	n/a	11323	RTO
22.5390625000	n/a	11540	RHS
22.7871093750	n/a	11667	LTO
23.2246093750	n/a	11891	LHS
23.4902343750	n/a	12027	RTO
23.9023437500	n/a	12238	TRIG
23.9257812500	n/a	12250	RHS
24.1738281250	n/a	12377	LTO
24.6523437500	n/a	12622	LHS
24.8906250000	n/a	12744	RTO
25.3027343750	n/a	12955	RHS
25.5390625000	n/a	13076	LTO
25.9023437500	n/a	13262	TRIG
26.0234375000	n/a	13324	LHS
26.2929687500	n/a	13462	RTO
26.7285156250	n/a	13685	RHS
26.9960937500	n/a	13822	LTO
27.4414062500	n/a	14050	LHS
27.6972656250	n/a	14181	RTO
27.9023437500	n/a	14286	TRIG
28.1269531250	n/a	14401	RHS
28.3769531250	n/a	14529	LTO
28.8359375000	n/a	14764	LHS
29.1015625000	n/a	14900	RTO
29.5351562500	n/a	15122	RHS
29.8007812500	n/a	15258	LTO
29.9023437500	n/a	15310	TRIG
30.2851562500	n/a	15506	LHS
30.5175781250	n/a	15625	RTO
30.9238281250	n/a	15833	RHS
31.1855468750	n/a	15967	LTO
31.6621093750	n/a	16211	LHS
31.9023437500	n/a	16334	TRIG
31.9121093750	n/a	16339	RTO
32.3164062500	n/a	16546	RHS
32.5722656250	n/a	16677	LTO
33.0527343750	n/a	16923	LHS
33.2929687500	n/a	17046	RTO
33.7285156250	n/a	17269	RHS
33.9023437500	n/a	17358	TRIG
33.9921875000	n/a	17404	LTO
34.4570312500	n/a	17642	LHS
