onset	duration	sample	value
0.8125000000	n/a	416	9633791
1.9843750000	n/a	1016	RHS
2.2050781250	n/a	1129	LTO
2.6191406250	n/a	1341	LHS
2.8789062500	n/a	1474	RTO
3.2675781250	n/a	1673	RHS
3.5078125000	n/a	1796	LTO
3.8984375000	n/a	1996	LHS
4.1347656250	n/a	2117	RTO
4.5253906250	n/a	2317	RHS
4.7578125000	n/a	2436	LTO
5.1621093750	n/a	2643	LHS
5.4082031250	n/a	2769	RTO
5.7636718750	n/a	2951	RHS
5.9980468750	n/a	3071	LTO
6.4140625000	n/a	3284	LHS
6.6542968750	n/a	3407	RTO
7.0097656250	n/a	3589	RHS
7.2207031250	n/a	3697	LTO
7.6328125000	n/a	3908	LHS
7.9062500000	n/a	4048	RTO
8.2929687500	n/a	4246	RHS
8.5058593750	n/a	4355	LTO
8.7792968750	n/a	4495	TRIG
8.9160156250	n/a	4565	LHS
9.1523437500	n/a	4686	RTO
9.5781250000	n/a	4904	RHS
9.8339843750	n/a	5035	LTO
10.1953125000	n/a	5220	LHS
10.4296875000	n/a	5340	RTO
10.7792968750	n/a	5519	TRIG
10.8515625000	n/a	5556	RHS
11.0898437500	n/a	5678	LTO
11.4980468750	n/a	5887	LHS
11.7285156250	n/a	6005	RTO
12.1464843750	n/a	6219	RHS
12.4042968750	n/a	6351	LTO
12.7792968750	n/a	6543	TRIG
12.7792968750	n/a	6543	LHS
13.0234375000	n/a	6668	RTO
13.4160156250	n/a	6869	RHS
13.6308593750	n/a	6979	LTO
14.0234375000	n/a	7180	LHS
14.2421875000	n/a	7292	RTO
14.6328125000	n/a	7492	RHS
14.7792968750	n/a	7567	TRIG
14.8750000000	n/a	7616	LTO
15.2753906250	n/a	7821	LHS
15.5273437500	n/a	7950	RTO
15.8593750000	n/a	8120	RHS
16.0703125000	n/a	8228	LTO
16.4726562500	n/a	8434	LHS
16.7480468750	n/a	8575	RTO
16.7792968750	n/a	8591	TRIG
17.0800781250	n/a	8745	RHS
17.2988281250	n/a	8857	LTO
17.6738281250	n/a	9049	LHS
17.9062500000	n/a	9168	RTO
18.3027343750	n/a	9371	RHS
18.5234375000	n/a	9484	LTO
18.7792968750	n/a	9615	TRIG
18.9179687500	n/a	9686	LHS
19.1464843750	n/a	9803	RTO
19.5292968750	n/a	9999	RHS
19.7539062500	n/a	10114	LTO
20.1640625000	n/a	10324	LHS
20.3867187500	n/a	10438	RTO
20.7792968750	n/a	10639	TRIG
20.7812500000	n/a	10640	RHS
