onset	duration	sample	value
0.7500000000	n/a	384	9633791
4.7441406250	n/a	2429	RHS
5.4882812500	n/a	2810	LHS
5.7421875000	n/a	2940	RTO
6.1816406250	n/a	3165	RHS
6.4824218750	n/a	3319	LTO
6.6679687500	n/a	3414	TRIG
6.8691406250	n/a	3517	LHS
7.0957031250	n/a	3633	RTO
7.5625000000	n/a	3872	RHS
7.8378906250	n/a	4013	LTO
8.2597656250	n/a	4229	LHS
8.5410156250	n/a	4373	RTO
8.6679687500	n/a	4438	TRIG
9.0039062500	n/a	4610	RHS
9.2734375000	n/a	4748	LTO
9.7089843750	n/a	4971	LHS
9.9355468750	n/a	5087	RTO
10.4589843750	n/a	5355	RHS
10.6679687500	n/a	5462	TRIG
10.7539062500	n/a	5506	LTO
11.1601562500	n/a	5714	LHS
11.4824218750	n/a	5879	RTO
11.9375000000	n/a	6112	RHS
12.2597656250	n/a	6277	LTO
12.6679687500	n/a	6486	TRIG
12.7187500000	n/a	6512	LHS
12.9941406250	n/a	6653	RTO
13.4531250000	n/a	6888	RHS
13.7246093750	n/a	7027	LTO
14.2167968750	n/a	7279	LHS
14.4843750000	n/a	7416	RTO
14.6660156250	n/a	7509	TRIG
14.9277343750	n/a	7643	RHS
15.2304687500	n/a	7798	LTO
15.6601562500	n/a	8018	LHS
15.9394531250	n/a	8161	RTO
16.3925781250	n/a	8393	RHS
16.6660156250	n/a	8533	TRIG
16.6914062500	n/a	8546	LTO
17.1269531250	n/a	8769	LHS
17.4316406250	n/a	8925	RTO
17.8632812500	n/a	9146	RHS
18.1308593750	n/a	9283	LTO
18.5664062500	n/a	9506	LHS
18.6660156250	n/a	9557	TRIG
18.8105468750	n/a	9631	RTO
19.2695312500	n/a	9866	RHS
19.5371093750	n/a	10003	LTO
20.0039062500	n/a	10242	LHS
20.2363281250	n/a	10361	RTO
20.6660156250	n/a	10581	TRIG
20.7109375000	n/a	10604	RHS
21.0000000000	n/a	10752	LTO
21.4042968750	n/a	10959	LHS
21.6445312500	n/a	11082	RTO
22.1093750000	n/a	11320	RHS
22.4003906250	n/a	11469	LTO
22.6660156250	n/a	11605	TRIG
22.8515625000	n/a	11700	LHS
23.0859375000	n/a	11820	RTO
23.6191406250	n/a	12093	RHS
23.8906250000	n/a	12232	LTO
24.3242187500	n/a	12454	LHS
24.5781250000	n/a	12584	RTO
24.6660156250	n/a	12629	TRIG
25.0742187500	n/a	12838	RHS
25.3300781250	n/a	12969	LTO
25.8183593750	n/a	13219	LHS
26.0585937500	n/a	13342	RTO
26.5527343750	n/a	13595	RHS
26.6660156250	n/a	13653	TRIG
26.8593750000	n/a	13752	LTO
27.2460937500	n/a	13950	LHS
27.5039062500	n/a	14082	RTO
27.9980468750	n/a	14335	RHS
28.2500000000	n/a	14464	LTO
28.6660156250	n/a	14677	TRIG
28.7109375000	n/a	14700	LHS
29.0058593750	n/a	14851	RTO
29.4453125000	n/a	15076	RHS
29.7636718750	n/a	15239	LTO
30.2089843750	n/a	15467	LHS
30.4531250000	n/a	15592	RTO
30.6660156250	n/a	15701	TRIG
30.9277343750	n/a	15835	RHS
31.1816406250	n/a	15965	LTO
31.7070312500	n/a	16234	LHS
31.9902343750	n/a	16379	RTO
32.4316406250	n/a	16605	RHS
32.6660156250	n/a	16725	TRIG
32.7128906250	n/a	16749	LTO
33.1601562500	n/a	16978	LHS
33.3964843750	n/a	17099	RTO
33.8750000000	n/a	17344	RHS
34.1699218750	n/a	17495	LTO
34.6035156250	n/a	17717	LHS
34.6660156250	n/a	17749	TRIG
34.8398437500	n/a	17838	RTO
35.3300781250	n/a	18089	RHS
35.6015625000	n/a	18228	LTO
36.0253906250	n/a	18445	LHS
36.2812500000	n/a	18576	RTO
36.6660156250	n/a	18773	TRIG
36.7382812500	n/a	18810	RHS
37.0175781250	n/a	18953	LTO
37.4726562500	n/a	19186	LHS
37.7226562500	n/a	19314	RTO
38.1972656250	n/a	19557	RHS
38.4589843750	n/a	19691	LTO
38.6660156250	n/a	19797	TRIG
38.9277343750	n/a	19931	LHS
39.1796875000	n/a	20060	RTO
39.6562500000	n/a	20304	RHS
39.9531250000	n/a	20456	LTO
40.3925781250	n/a	20681	LHS
40.6308593750	n/a	20803	RTO
40.6660156250	n/a	20821	TRIG
41.1054687500	n/a	21046	RHS
41.3789062500	n/a	21186	LTO
41.8398437500	n/a	21422	LHS
42.0839843750	n/a	21547	RTO
42.5273437500	n/a	21774	RHS
42.6660156250	n/a	21845	TRIG
42.8222656250	n/a	21925	LTO
43.2656250000	n/a	22152	LHS
43.5097656250	n/a	22277	RTO
43.9843750000	n/a	22520	RHS
44.2773437500	n/a	22670	LTO
44.6660156250	n/a	22869	TRIG
44.7128906250	n/a	22893	LHS
44.9609375000	n/a	23020	RTO
45.4335937500	n/a	23262	RHS
45.7265625000	n/a	23412	LTO
46.1503906250	n/a	23629	LHS
46.3945312500	n/a	23754	RTO
46.6660156250	n/a	23893	TRIG
46.8613281250	n/a	23993	RHS
47.1386718750	n/a	24135	LTO
47.6269531250	n/a	24385	LHS
47.8691406250	n/a	24509	RTO
48.3359375000	n/a	24748	RHS
48.6250000000	n/a	24896	LTO
48.6660156250	n/a	24917	TRIG
49.0664062500	n/a	25122	LHS
49.3027343750	n/a	25243	RTO
49.7910156250	n/a	25493	RHS
50.0839843750	n/a	25643	LTO
50.5371093750	n/a	25875	LHS
50.6660156250	n/a	25941	TRIG
50.7792968750	n/a	25999	RTO
51.2324218750	n/a	26231	RHS
51.5429687500	n/a	26390	LTO
51.9472656250	n/a	26597	LHS
52.1855468750	n/a	26719	RTO
52.6660156250	n/a	26965	TRIG
52.6953125000	n/a	26980	RHS
52.9882812500	n/a	27130	LTO
53.4003906250	n/a	27341	LHS
53.6464843750	n/a	27467	RTO
54.1015625000	n/a	27700	RHS
54.3964843750	n/a	27851	LTO
54.6660156250	n/a	27989	TRIG
54.7968750000	n/a	28056	LHS
55.0351562500	n/a	28178	RTO
55.5117187500	n/a	28422	RHS
55.7792968750	n/a	28559	LTO
56.2187500000	n/a	28784	LHS
56.5019531250	n/a	28929	RTO
56.6660156250	n/a	29013	TRIG
56.9199218750	n/a	29143	RHS
57.1816406250	n/a	29277	LTO
57.6347656250	n/a	29509	LHS
57.9101562500	n/a	29650	RTO
58.3437500000	n/a	29872	RHS
58.6582031250	n/a	30033	LTO
58.6660156250	n/a	30037	TRIG
59.1074218750	n/a	30263	LHS
59.3281250000	n/a	30376	RTO
59.8242187500	n/a	30630	RHS
60.1132812500	n/a	30778	LTO
60.5136718750	n/a	30983	LHS
60.6660156250	n/a	31061	TRIG
60.7519531250	n/a	31105	RTO
61.2109375000	n/a	31340	RHS
61.4921875000	n/a	31484	LTO
61.9707031250	n/a	31729	LHS
62.2187500000	n/a	31856	RTO
62.6660156250	n/a	32085	TRIG
62.6933593750	n/a	32099	RHS
62.9707031250	n/a	32241	LTO
63.3925781250	n/a	32457	LHS
63.6503906250	n/a	32589	RTO
64.1386718750	n/a	32839	RHS
64.4121093750	n/a	32979	LTO
64.6660156250	n/a	33109	TRIG
64.8652343750	n/a	33211	LHS
65.1250000000	n/a	33344	RTO
65.5683593750	n/a	33571	RHS
65.8281250000	n/a	33704	LTO
66.2753906250	n/a	33933	LHS
66.5703125000	n/a	34084	RTO
66.6660156250	n/a	34133	TRIG
66.9960937500	n/a	34302	RHS
67.2773437500	n/a	34446	LTO
67.7050781250	n/a	34665	LHS
67.9472656250	n/a	34789	RTO
68.4082031250	n/a	35025	RHS
68.6660156250	n/a	35157	TRIG
68.6679687500	n/a	35158	LTO
69.1132812500	n/a	35386	LHS
69.3867187500	n/a	35526	RTO
69.8339843750	n/a	35755	RHS
70.1152343750	n/a	35899	LTO
70.5683593750	n/a	36131	LHS
70.6660156250	n/a	36181	TRIG
70.8320312500	n/a	36266	RTO
71.2851562500	n/a	36498	RHS
71.5898437500	n/a	36654	LTO
72.0195312500	n/a	36874	LHS
72.2480468750	n/a	36991	RTO
72.6660156250	n/a	37205	TRIG
72.7207031250	n/a	37233	RHS
72.9960937500	n/a	37374	LTO
73.4433593750	n/a	37603	LHS
73.6738281250	n/a	37721	RTO
74.1738281250	n/a	37977	RHS
74.4511718750	n/a	38119	LTO
74.6660156250	n/a	38229	TRIG
74.8964843750	n/a	38347	LHS
75.1562500000	n/a	38480	RTO
75.6054687500	n/a	38710	RHS
75.8496093750	n/a	38835	LTO
76.3183593750	n/a	39075	LHS
76.5976562500	n/a	39218	RTO
76.6660156250	n/a	39253	TRIG
77.0625000000	n/a	39456	RHS
77.3496093750	n/a	39603	LTO
77.7851562500	n/a	39826	LHS
78.0488281250	n/a	39961	RTO
