onset	duration	sample	value
0.8867187500	n/a	454	LHS
1.0156250000	n/a	520	9633791
1.1484375000	n/a	588	RTO
1.5800781250	n/a	809	RHS
1.8574218750	n/a	951	LTO
2.2812500000	n/a	1168	LHS
2.4882812500	n/a	1274	RTO
3.0078125000	n/a	1540	RHS
3.2421875000	n/a	1660	LTO
3.6582031250	n/a	1873	LHS
3.9121093750	n/a	2003	RTO
4.3750000000	n/a	2240	RHS
4.5976562500	n/a	2354	LTO
5.0449218750	n/a	2583	LHS
5.3261718750	n/a	2727	RTO
5.7246093750	n/a	2931	RHS
5.9550781250	n/a	3049	LTO
6.4433593750	n/a	3299	LHS
6.6953125000	n/a	3428	RTO
7.1132812500	n/a	3642	RHS
7.2578125000	n/a	3716	TRIG
7.3261718750	n/a	3751	LTO
7.7714843750	n/a	3979	LHS
8.0449218750	n/a	4119	RTO
8.4824218750	n/a	4343	RHS
8.7011718750	n/a	4455	LTO
9.1503906250	n/a	4685	LHS
9.2578125000	n/a	4740	TRIG
9.4003906250	n/a	4813	RTO
9.8632812500	n/a	5050	RHS
10.0937500000	n/a	5168	LTO
10.5214843750	n/a	5387	LHS
10.7675781250	n/a	5513	RTO
11.2519531250	n/a	5761	RHS
11.2578125000	n/a	5764	TRIG
11.4843750000	n/a	5880	LTO
11.9140625000	n/a	6100	LHS
12.2031250000	n/a	6248	RTO
12.6289062500	n/a	6466	RHS
12.8437500000	n/a	6576	LTO
13.2578125000	n/a	6788	TRIG
13.2636718750	n/a	6791	LHS
13.5820312500	n/a	6954	RTO
14.0234375000	n/a	7180	RHS
14.2480468750	n/a	7295	LTO
14.7089843750	n/a	7531	LHS
14.9960937500	n/a	7678	RTO
15.2578125000	n/a	7812	TRIG
15.4335937500	n/a	7902	RHS
15.6660156250	n/a	8021	LTO
16.1289062500	n/a	8258	LHS
16.3886718750	n/a	8391	RTO
16.8222656250	n/a	8613	RHS
17.0585937500	n/a	8734	LTO
17.2578125000	n/a	8836	TRIG
17.5078125000	n/a	8964	LHS
17.7695312500	n/a	9098	RTO
18.2050781250	n/a	9321	RHS
18.4414062500	n/a	9442	LTO
18.8554687500	n/a	9654	LHS
19.1289062500	n/a	9794	RTO
19.2578125000	n/a	9860	TRIG
19.5546875000	n/a	10012	RHS
19.7812500000	n/a	10128	LTO
20.2226562500	n/a	10354	LHS
20.4960937500	n/a	10494	RTO
20.8945312500	n/a	10698	RHS
21.1230468750	n/a	10815	LTO
21.2578125000	n/a	10884	TRIG
21.5742187500	n/a	11046	LHS
21.8320312500	n/a	11178	RTO
22.2714843750	n/a	11403	RHS
22.5078125000	n/a	11524	LTO
22.8828125000	n/a	11716	LHS
23.1191406250	n/a	11837	RTO
23.2578125000	n/a	11908	TRIG
23.5839843750	n/a	12075	RHS
23.8203125000	n/a	12196	LTO
24.2246093750	n/a	12403	LHS
24.4687500000	n/a	12528	RTO
24.8730468750	n/a	12735	RHS
25.1035156250	n/a	12853	LTO
25.2578125000	n/a	12932	TRIG
25.5019531250	n/a	13057	LHS
25.7460937500	n/a	13182	RTO
26.1816406250	n/a	13405	RHS
26.4335937500	n/a	13534	LTO
26.8652343750	n/a	13755	LHS
27.0566406250	n/a	13853	RTO
27.2578125000	n/a	13956	TRIG
27.5156250000	n/a	14088	RHS
27.7519531250	n/a	14209	LTO
28.1992187500	n/a	14438	LHS
28.4394531250	n/a	14561	RTO
28.8417968750	n/a	14767	RHS
29.0683593750	n/a	14883	LTO
29.2578125000	n/a	14980	TRIG
29.5312500000	n/a	15120	LHS
29.7812500000	n/a	15248	RTO
30.1875000000	n/a	15456	RHS
30.4199218750	n/a	15575	LTO
30.8769531250	n/a	15809	LHS
31.1523437500	n/a	15950	RTO
31.2578125000	n/a	16004	TRIG
31.5800781250	n/a	16169	RHS
31.8085937500	n/a	16286	LTO
32.2773437500	n/a	16526	LHS
32.5488281250	n/a	16665	RTO
33.0019531250	n/a	16897	RHS
33.2578125000	n/a	17028	TRIG
33.2695312500	n/a	17034	LTO
33.7050781250	n/a	17257	LHS
33.9531250000	n/a	17384	RTO
34.4667968750	n/a	17647	RHS
34.7148437500	n/a	17774	LTO
35.1250000000	n/a	17984	LHS
35.2578125000	n/a	18052	TRIG
35.3867187500	n/a	18118	RTO
35.8710937500	n/a	18366	RHS
36.1308593750	n/a	18499	LTO
36.5917968750	n/a	18735	LHS
36.8281250000	n/a	18856	RTO
37.2578125000	n/a	19076	TRIG
37.3007812500	n/a	19098	RHS
37.5351562500	n/a	19218	LTO
38.0156250000	n/a	19464	LHS
38.2832031250	n/a	19601	RTO
38.7675781250	n/a	19849	RHS
39.0019531250	n/a	19969	LTO
39.2578125000	n/a	20100	TRIG
39.4667968750	n/a	20207	LHS
39.7382812500	n/a	20346	RTO
40.1894531250	n/a	20577	RHS
40.4277343750	n/a	20699	LTO
40.8886718750	n/a	20935	LHS
41.1855468750	n/a	21087	RTO
41.2578125000	n/a	21124	TRIG
41.5937500000	n/a	21296	RHS
41.8242187500	n/a	21414	LTO
42.2539062500	n/a	21634	LHS
42.6015625000	n/a	21812	RTO
43.0488281250	n/a	22041	RHS
43.2578125000	n/a	22148	TRIG
43.2890625000	n/a	22164	LTO
43.6523437500	n/a	22350	LHS
43.9179687500	n/a	22486	RTO
44.3906250000	n/a	22728	RHS
44.6738281250	n/a	22873	LTO
44.9960937500	n/a	23038	LHS
45.2578125000	n/a	23172	TRIG
45.2695312500	n/a	23178	RTO
45.7148437500	n/a	23406	RHS
45.9843750000	n/a	23544	LTO
46.3750000000	n/a	23744	LHS
46.6015625000	n/a	23860	RTO
47.0390625000	n/a	24084	RHS
47.2578125000	n/a	24196	TRIG
47.3203125000	n/a	24228	LTO
47.6972656250	n/a	24421	LHS
47.9160156250	n/a	24533	RTO
48.3652343750	n/a	24763	RHS
48.5976562500	n/a	24882	LTO
49.0000000000	n/a	25088	LHS
49.2265625000	n/a	25204	RTO
49.2578125000	n/a	25220	TRIG
49.6757812500	n/a	25434	RHS
