name	x	y	z
1-A1	11.265277	4.743498	82.110212
1-A2	-3.277723	1.062398	83.373612
1-A3	-17.666923	1.723298	82.301312
1-A4	-32.256123	1.738898	78.299512
1-A5	-42.304023	28.175798	70.335712
1-A6	-29.078823	47.367898	67.761812
1-A7	-39.620123	52.561598	57.420112
1-A8	-55.102523	47.998498	47.441812
1-A9	-60.959123	50.466598	32.440112
1-A10	-66.441123	49.658498	17.669712
1-A11	-67.707223	49.566998	-0.846588
1-A12	-70.128723	46.005698	-14.718888
1-A14	-82.859023	26.197898	7.923212
1-A15	-79.148123	28.517198	24.399912
1-A16	-74.163723	28.507298	37.230512
1-A17	-66.226523	27.190498	49.662712
1-A18	-53.630723	30.647198	62.045612
1-A19	-44.812823	2.382798	72.623012
1-A20	-58.246323	2.415898	63.101112
1-A21	-67.708923	1.700998	53.205712
1-A22	-77.236723	1.092998	38.464412
1-A23	-83.407523	-0.955202	24.144912
1-A24	-86.366123	-2.035002	10.199512
1-A25	-86.014623	-1.424902	-5.982288
1-A26	-82.201523	-27.717102	-6.646388
1-A27	-81.890623	-28.107002	10.186912
1-A28	-78.536423	-28.753002	24.889812
1-A29	-72.299123	-26.952402	39.111212
1-A30	-64.675823	-24.820802	51.709712
1-A31	-54.824923	-26.203002	63.540012
1-A32	-43.929423	-21.522002	72.216112
1-B1	6.836877	-12.456002	81.739512
1-B2	-10.040323	-17.831802	81.576012
1-B3	-31.927023	-37.699102	71.250312
1-B4	-38.754623	-45.770802	61.265412
1-B5	-52.058823	-44.630202	51.673612
1-B6	-57.614023	-49.579902	36.770412
1-B7	-61.819023	-53.195102	20.866412
1-B8	-64.885523	-53.831102	4.847612
1-B9	-66.932223	-51.866202	-12.793488
1-B10	-47.004823	-66.105802	-0.597088
1-B11	-41.806523	-66.017302	16.057412
1-B12	-38.528423	-62.881102	32.479112
1-B13	-34.355623	-58.370202	47.638812
1-B14	-21.647923	-73.095402	11.538212
1-B15	-18.099423	-71.039902	27.109112
1-B16	-16.688523	-66.738802	41.892312
1-B17	-15.743723	-59.336002	55.676112
1-B18	-14.022823	-50.180902	66.478312
1-B19	-11.321023	-39.017902	75.056412
1-B20	7.876177	-27.239202	79.493612
1-B21	8.814577	-40.069402	72.511412
1-B22	7.724877	-52.744502	61.753812
1-B23	7.456077	-61.547402	49.911312
1-B24	6.236277	-69.023602	35.314012
1-B25	2.854077	-73.422902	22.445612
1-B26	4.231677	-74.814902	7.453612
1-B27	29.105877	-71.165302	0.892712
1-B28	26.233077	-70.150802	17.939612
1-B29	27.351677	-64.468702	33.095412
1-B30	31.818677	-55.442602	45.663112
1-B31	30.127977	-46.961802	58.000912
1-B32	28.774177	-37.073702	66.932712
1-C1	21.908477	-5.560002	78.596112
1-C2	31.125477	-16.669202	73.089612
1-C3	46.898777	-38.284102	56.233712
1-C4	53.135277	-45.376302	42.845412
1-C5	48.116277	-55.510402	31.200812
1-C6	52.127377	-59.336502	16.589512
1-C7	51.532777	-62.616302	1.217012
1-C8	72.388377	-49.246602	1.818112
1-C9	69.060977	-47.604802	17.504112
1-C10	64.945877	-43.796502	30.329612
1-C11	45.115677	-19.292502	65.643712
1-C12	58.215377	-19.085902	56.922012
1-C13	71.448277	-22.213502	42.499612
1-C14	80.029977	-21.661702	30.248712
1-C15	86.444777	-24.553602	16.776012
1-C16	91.194477	-26.358802	2.552812
1-C17	97.451577	-2.784602	2.156212
1-C18	91.909777	-0.749202	16.067212
1-C19	84.846077	-0.213202	29.977412
1-C20	76.091377	0.103398	42.598912
1-C21	63.499877	1.252398	55.077212
1-C22	50.938977	1.632598	64.030812
1-C23	37.489077	2.956598	71.566412
1-C24	47.685177	23.709698	63.138012
1-C25	61.683377	22.908598	53.221312
1-C26	72.551677	24.651798	41.695012
1-C27	82.526077	23.251198	26.308312
1-C28	87.452077	23.109398	14.110312
1-C29	92.812177	23.191298	-2.964688
1-C30	75.887677	45.515698	-3.902688
1-C31	72.374677	44.013798	12.087412
1-C32	68.657977	40.528498	28.111912
1-D1	22.409577	12.340398	78.415612
1-D2	32.803277	22.926098	71.429012
1-D3	49.417877	41.072998	52.522612
1-D4	55.265377	45.469498	42.104012
1-D5	48.791477	55.877998	29.025112
1-D6	50.906477	59.899398	13.274912
1-D7	50.614777	61.043198	-4.389788
1-D8	25.534177	69.752198	-0.950788
1-D9	26.782377	68.767798	15.637312
1-D10	29.504577	65.239998	29.077212
1-D11	29.407577	59.620898	43.056212
1-D12	30.681377	50.844398	56.171512
1-D13	28.437777	41.948098	65.077312
1-D14	10.542977	32.788298	76.475812
1-D15	6.266277	18.552998	80.881412
1-D16	-8.216623	23.357498	80.693712
1-D17	-10.739223	45.726798	72.201312
1-D18	7.781777	46.262598	68.884212
1-D19	9.679877	57.101598	59.630312
1-D20	6.058177	66.135298	46.277112
1-D21	5.903077	70.663098	32.210212
1-D22	2.654977	73.479798	16.250512
1-D23	1.966377	73.789198	0.631012
1-D24	-25.277423	71.850798	2.033912
1-D25	-21.534723	71.575198	21.026912
1-D26	-19.088823	69.746598	36.644712
1-D27	-15.942123	64.589098	51.273312
1-D28	-13.484623	55.855298	63.508712
1-D29	-36.029723	63.842398	41.387212
1-D30	-41.672223	65.203198	26.326312
1-D31	-44.308123	65.528798	10.303712
1-D32	-46.876523	64.661498	-5.752788
1-EXG1	n/a	n/a	n/a
1-EXG2	n/a	n/a	n/a
1-EXG3	n/a	n/a	n/a
