onset	duration	sample	value
0.3750000000	0.0000000000	192	9633791
0.8164062500	0.0000000000	418	RHS
1.0449218750	0.0000000000	535	LTO
1.5019531250	0.0000000000	769	LHS
1.7265625000	0.0000000000	884	RTO
2.1542968750	0.0000000000	1103	RHS
2.3769531250	0.0000000000	1217	LTO
2.8652343750	0.0000000000	1467	LHS
3.1152343750	0.0000000000	1595	RTO
3.5156250000	0.0000000000	1800	RHS
3.6152343750	0.0000000000	1851	TRIG
3.6152343750	0.0000000000	1851	B1
3.7421875000	0.0000000000	1916	LTO
4.1914062500	0.0000000000	2146	LHS
4.4101562500	0.0000000000	2258	RTO
4.8554687500	0.0000000000	2486	RHS
5.0800781250	0.0000000000	2601	LTO
5.5273437500	0.0000000000	2830	LHS
5.6152343750	0.0000000000	2875	TRIG
5.7460937500	0.0000000000	2942	RTO
6.1367187500	0.0000000000	3142	RHS
6.3730468750	0.0000000000	3263	LTO
6.8066406250	0.0000000000	3485	LHS
7.0429687500	0.0000000000	3606	RTO
7.4765625000	0.0000000000	3828	RHS
7.6152343750	0.0000000000	3899	TRIG
7.6992187500	0.0000000000	3942	LTO
8.1816406250	0.0000000000	4189	LHS
8.4355468750	0.0000000000	4319	RTO
8.8417968750	0.0000000000	4527	RHS
9.0449218750	0.0000000000	4631	LTO
9.5312500000	0.0000000000	4880	LHS
9.6152343750	0.0000000000	4923	TRIG
9.7812500000	0.0000000000	5008	RTO
10.1660156250	0.0000000000	5205	RHS
10.3574218750	0.0000000000	5303	LTO
10.8378906250	0.0000000000	5549	LHS
11.0859375000	0.0000000000	5676	RTO
11.5136718750	0.0000000000	5895	RHS
11.6152343750	0.0000000000	5947	TRIG
11.7441406250	0.0000000000	6013	LTO
12.1992187500	0.0000000000	6246	LHS
12.4335937500	0.0000000000	6366	RTO
12.8437500000	0.0000000000	6576	RHS
13.0371093750	0.0000000000	6675	LTO
13.5566406250	0.0000000000	6941	LHS
13.6152343750	0.0000000000	6971	TRIG
13.8085937500	0.0000000000	7070	RTO
14.2128906250	0.0000000000	7277	RHS
14.4160156250	0.0000000000	7381	LTO
14.8808593750	0.0000000000	7619	LHS
15.1171875000	0.0000000000	7740	RTO
15.5253906250	0.0000000000	7949	RHS
15.6152343750	0.0000000000	7995	TRIG
15.7441406250	0.0000000000	8061	LTO
16.2148437500	0.0000000000	8302	LHS
16.4589843750	0.0000000000	8427	RTO
16.8671875000	0.0000000000	8636	RHS
17.0683593750	0.0000000000	8739	LTO
17.5312500000	0.0000000000	8976	LHS
17.6132812500	0.0000000000	9018	TRIG
17.7949218750	0.0000000000	9111	RTO
18.1914062500	0.0000000000	9314	RHS
18.4042968750	0.0000000000	9423	LTO
18.8750000000	0.0000000000	9664	LHS
19.1035156250	0.0000000000	9781	RTO
19.5273437500	0.0000000000	9998	RHS
19.6152343750	0.0000000000	10043	TRIG
19.7402343750	0.0000000000	10107	LTO
