name	x	y	z
1-A1	7.133828	-3.392776	82.722889
1-A2	-6.550572	-4.370076	84.253789
1-A3	-21.555272	-3.455576	83.100289
1-A4	-35.218172	-1.849376	78.756689
1-A5	-45.744872	24.252024	69.825489
1-A6	-33.101672	43.117024	68.252989
1-A7	-42.120072	50.452824	57.084989
1-A8	-57.214372	47.808724	45.938989
1-A9	-62.015372	51.126424	31.969789
1-A10	-67.243772	51.695124	16.546489
1-A11	-70.217172	51.573124	0.234289
1-A12	-72.172072	50.458324	-16.455611
1-A13	-87.428972	27.848724	-8.158711
1-A14	-85.726672	28.632424	6.509189
1-A15	-81.544072	28.266624	23.499689
1-A16	-75.797672	27.725524	37.297489
1-A17	-68.315672	26.699524	49.115289
1-A18	-57.369272	28.910624	59.819789
1-A19	-50.978872	-0.630776	69.847789
1-A20	-62.265072	-1.462176	60.820889
1-A21	-72.012672	-0.742876	50.231489
1-A22	-80.140472	-1.349476	36.386289
1-A23	-85.569172	-1.246076	21.690389
1-A24	-89.479272	-0.387676	5.569489
1-A25	-90.324972	-0.103476	-8.811011
1-A26	-85.522972	-27.327376	-12.618811
1-A27	-85.089572	-29.942776	3.567889
1-A28	-81.624972	-31.432176	18.831989
1-A29	-76.346272	-30.608776	34.211889
1-A30	-69.520572	-28.425576	47.582389
1-A31	-58.644172	-29.902676	58.971989
1-A32	-48.589772	-25.518076	68.357889
1-B1	2.618928	-18.493676	81.749789
1-B2	-14.996272	-23.016176	81.122389
1-B3	-33.592372	-46.125376	67.318389
1-B4	-41.901372	-51.840276	56.360589
1-B5	-55.367872	-49.068076	45.806789
1-B6	-60.716572	-52.473176	30.879889
1-B7	-64.290872	-53.100476	13.644389
1-B8	-65.839072	-53.165776	-2.077911
1-B9	-69.145272	-49.375976	-18.920111
1-B10	-48.768072	-64.355776	-6.535311
1-B11	-42.614572	-66.548976	9.799689
1-B12	-41.647872	-65.144476	25.720589
1-B13	-36.668372	-62.935576	42.329989
1-B14	-21.454172	-72.905076	4.256189
1-B15	-18.649772	-72.479076	21.401889
1-B16	-17.456672	-70.485976	37.389989
1-B17	-18.569472	-65.352076	50.291589
1-B18	-16.012672	-56.931876	63.039789
1-B19	-14.779372	-43.746476	72.559689
1-B20	4.439628	-32.834276	78.152389
1-B21	5.791128	-46.359776	70.349189
1-B22	4.287028	-58.133976	60.241789
1-B23	4.890628	-67.591176	46.763089
1-B24	4.677928	-72.225376	32.047089
1-B25	3.024028	-74.975976	17.109889
1-B26	3.503028	-75.277276	1.206889
1-B27	29.991428	-70.384776	0.915489
1-B28	26.710828	-70.943476	17.161389
1-B29	26.838028	-67.503176	32.165989
1-B30	31.669728	-59.535776	46.663289
1-B31	29.494728	-51.914876	57.838389
1-B32	25.122628	-41.215476	66.779089
1-C1	18.652428	-12.159676	79.005889
1-C2	28.375128	-22.548376	74.081289
1-C3	46.181028	-42.397576	58.190989
1-C4	54.351228	-46.162676	48.581489
1-C5	49.187628	-58.206576	33.362389
1-C6	53.478728	-60.062776	19.729789
1-C7	53.239828	-61.204876	5.585589
1-C8	75.713028	-48.337076	9.303389
1-C9	71.583828	-47.282276	23.523589
1-C10	66.047828	-45.391176	37.758889
1-C11	43.325028	-23.753676	67.974589
1-C12	58.773528	-23.059076	60.454889
1-C13	70.326728	-25.644476	50.675489
1-C14	82.941528	-23.549076	39.013789
1-C15	88.591028	-26.305976	27.464889
1-C18	95.240628	-1.247476	29.800689
1-C19	87.770928	-2.800276	41.927789
1-C20	76.726728	-1.652676	51.850689
1-C21	64.031728	-3.032376	61.318389
1-C22	48.533928	-2.272776	69.599389
1-C23	33.178828	-2.127476	75.498189
1-C24	46.939928	17.814624	68.389889
1-C25	60.016028	18.307324	60.943289
1-C26	72.492628	20.735924	51.357589
1-C27	83.171528	22.768824	38.334189
1-C28	89.775328	22.171124	26.323489
1-C30	76.163228	46.012924	7.680289
1-C31	74.324528	43.581824	23.690989
1-C32	69.881428	39.794124	38.762189
1-D1	18.724728	4.995924	80.043789
1-D2	29.855228	16.640624	74.667289
1-D3	47.506828	35.379424	60.491289
1-D4	55.585728	41.902024	49.584789
1-D5	49.483628	55.314624	35.032689
1-D6	51.646228	59.555124	20.782589
1-D7	53.505728	60.436324	4.187989
1-D8	26.512828	72.088924	3.537189
1-D9	27.985828	69.635524	20.537389
1-D10	30.453328	64.195024	35.249589
1-D11	28.552528	57.823324	48.103589
1-D12	28.189228	47.589424	59.759289
1-D13	26.895428	35.742324	67.406489
1-D14	7.218828	26.006624	78.205489
1-D15	4.198928	11.590624	82.107189
1-D16	-12.616972	17.310824	80.943589
1-D17	-13.948772	42.241324	73.249089
1-D18	5.596928	41.421724	72.567389
1-D19	5.984628	53.794624	62.866289
1-D20	5.668428	64.236424	50.167889
1-D21	7.078228	70.287324	36.319089
1-D22	3.137328	74.055024	20.463789
1-D23	2.614728	76.472124	4.214989
1-D24	-22.970472	73.347324	6.276489
1-D25	-19.645172	72.704224	22.444789
1-D26	-17.722372	69.790024	39.413289
1-D27	-17.610872	63.710524	53.120689
1-D28	-16.757772	54.361624	63.850289
1-D29	-38.735572	61.644124	42.183889
1-D30	-41.890572	65.338524	26.817689
1-D31	-45.315472	66.442024	9.645089
1-D32	-47.738872	66.151424	-4.843611
1-EXG1	n/a	n/a	n/a
1-EXG2	n/a	n/a	n/a
1-EXG3	n/a	n/a	n/a
1-EXG4	n/a	n/a	n/a
1-EXG5	n/a	n/a	n/a
1-EXG6	n/a	n/a	n/a
1-EXG7	n/a	n/a	n/a
1-EXG8	n/a	n/a	n/a
2-A1	n/a	n/a	n/a
2-A2	n/a	n/a	n/a
2-A4	n/a	n/a	n/a
2-A5	n/a	n/a	n/a
2-A6	n/a	n/a	n/a
2-A7	n/a	n/a	n/a
2-A8	n/a	n/a	n/a
2-A9	n/a	n/a	n/a
2-A10	n/a	n/a	n/a
2-A11	n/a	n/a	n/a
2-A12	n/a	n/a	n/a
2-A13	n/a	n/a	n/a
2-A14	n/a	n/a	n/a
2-A15	n/a	n/a	n/a
2-A17	n/a	n/a	n/a
2-A18	n/a	n/a	n/a
2-A19	n/a	n/a	n/a
2-A20	n/a	n/a	n/a
2-A21	n/a	n/a	n/a
2-A22	n/a	n/a	n/a
2-A23	n/a	n/a	n/a
2-A24	n/a	n/a	n/a
2-A25	n/a	n/a	n/a
2-A26	n/a	n/a	n/a
2-A27	n/a	n/a	n/a
2-A28	n/a	n/a	n/a
2-A29	n/a	n/a	n/a
2-A30	n/a	n/a	n/a
2-A31	n/a	n/a	n/a
2-A32	n/a	n/a	n/a
2-B1	n/a	n/a	n/a
2-B2	n/a	n/a	n/a
2-B3	n/a	n/a	n/a
2-B4	n/a	n/a	n/a
2-B5	n/a	n/a	n/a
2-B6	n/a	n/a	n/a
2-B7	n/a	n/a	n/a
2-B8	n/a	n/a	n/a
2-B11	n/a	n/a	n/a
2-B12	n/a	n/a	n/a
2-B13	n/a	n/a	n/a
2-B16	n/a	n/a	n/a
2-B17	n/a	n/a	n/a
2-B18	n/a	n/a	n/a
2-B19	n/a	n/a	n/a
2-B20	n/a	n/a	n/a
2-B22	n/a	n/a	n/a
2-B23	n/a	n/a	n/a
2-B24	n/a	n/a	n/a
2-B28	n/a	n/a	n/a
2-B29	n/a	n/a	n/a
2-B30	n/a	n/a	n/a
2-B31	n/a	n/a	n/a
2-B32	n/a	n/a	n/a
2-C1	n/a	n/a	n/a
2-C2	n/a	n/a	n/a
2-C3	n/a	n/a	n/a
2-C4	n/a	n/a	n/a
2-C5	n/a	n/a	n/a
2-C6	n/a	n/a	n/a
2-C7	n/a	n/a	n/a
2-C8	n/a	n/a	n/a
2-C9	n/a	n/a	n/a
2-C10	n/a	n/a	n/a
2-C11	n/a	n/a	n/a
2-C12	n/a	n/a	n/a
2-C13	n/a	n/a	n/a
2-C14	n/a	n/a	n/a
2-C15	n/a	n/a	n/a
2-C16	n/a	n/a	n/a
2-C17	n/a	n/a	n/a
2-C18	n/a	n/a	n/a
2-C19	n/a	n/a	n/a
2-C20	n/a	n/a	n/a
2-C21	n/a	n/a	n/a
2-C22	n/a	n/a	n/a
2-C23	n/a	n/a	n/a
2-C24	n/a	n/a	n/a
2-C25	n/a	n/a	n/a
2-C26	n/a	n/a	n/a
2-C27	n/a	n/a	n/a
2-C28	n/a	n/a	n/a
2-C29	n/a	n/a	n/a
2-C30	n/a	n/a	n/a
2-C31	n/a	n/a	n/a
2-C32	n/a	n/a	n/a
2-D1	n/a	n/a	n/a
2-D3	n/a	n/a	n/a
2-D4	n/a	n/a	n/a
2-D5	n/a	n/a	n/a
2-D6	n/a	n/a	n/a
2-D7	n/a	n/a	n/a
2-D8	n/a	n/a	n/a
2-D9	n/a	n/a	n/a
2-D10	n/a	n/a	n/a
2-D11	n/a	n/a	n/a
2-D12	n/a	n/a	n/a
2-D13	n/a	n/a	n/a
2-D14	n/a	n/a	n/a
2-D15	n/a	n/a	n/a
2-D16	n/a	n/a	n/a
2-D17	n/a	n/a	n/a
2-D18	n/a	n/a	n/a
2-D19	n/a	n/a	n/a
2-D20	n/a	n/a	n/a
2-D21	n/a	n/a	n/a
2-D22	n/a	n/a	n/a
2-D23	n/a	n/a	n/a
2-D24	n/a	n/a	n/a
2-D25	n/a	n/a	n/a
2-D26	n/a	n/a	n/a
2-D27	n/a	n/a	n/a
2-D28	n/a	n/a	n/a
2-D29	n/a	n/a	n/a
2-D30	n/a	n/a	n/a
2-D31	n/a	n/a	n/a
2-D32	n/a	n/a	n/a
Fz1	n/a	n/a	n/a
Fz2	n/a	n/a	n/a
