onset	duration	sample	value
0.5371093750	0.0000000000	275	RHS
0.8750000000	0.0000000000	448	9633791
1.1796875000	0.0000000000	604	LHS
1.4199218750	0.0000000000	727	RTO
1.8378906250	0.0000000000	941	RHS
2.0664062500	0.0000000000	1058	LTO
2.5097656250	0.0000000000	1285	LHS
2.7832031250	0.0000000000	1425	RTO
3.2109375000	0.0000000000	1644	RHS
3.4511718750	0.0000000000	1767	LTO
3.8886718750	0.0000000000	1991	LHS
4.1406250000	0.0000000000	2120	RTO
4.5605468750	0.0000000000	2335	RHS
4.7968750000	0.0000000000	2456	LTO
5.1972656250	0.0000000000	2661	LHS
5.4453125000	0.0000000000	2788	RTO
5.8574218750	0.0000000000	2999	RHS
5.8847656250	0.0000000000	3013	TRIG
5.8847656250	0.0000000000	3013	B1
6.0664062500	0.0000000000	3106	LTO
6.5117187500	0.0000000000	3334	LHS
6.7890625000	0.0000000000	3476	RTO
7.2304687500	0.0000000000	3702	RHS
7.4980468750	0.0000000000	3839	LTO
7.8847656250	0.0000000000	4037	TRIG
7.9296875000	0.0000000000	4060	LHS
8.1484375000	0.0000000000	4172	RTO
8.6093750000	0.0000000000	4408	RHS
8.8437500000	0.0000000000	4528	LTO
9.2753906250	0.0000000000	4749	LHS
9.5136718750	0.0000000000	4871	RTO
9.8847656250	0.0000000000	5061	TRIG
9.9179687500	0.0000000000	5078	RHS
10.1367187500	0.0000000000	5190	LTO
10.5664062500	0.0000000000	5410	LHS
10.8125000000	0.0000000000	5536	RTO
11.2382812500	0.0000000000	5754	RHS
11.4453125000	0.0000000000	5860	LTO
11.8613281250	0.0000000000	6073	LHS
11.8847656250	0.0000000000	6085	TRIG
12.0957031250	0.0000000000	6193	RTO
12.5449218750	0.0000000000	6423	RHS
12.7832031250	0.0000000000	6545	LTO
13.2207031250	0.0000000000	6769	LHS
13.4375000000	0.0000000000	6880	RTO
13.8847656250	0.0000000000	7109	TRIG
13.8867187500	0.0000000000	7110	RHS
14.1308593750	0.0000000000	7235	LTO
14.5996093750	0.0000000000	7475	LHS
14.8632812500	0.0000000000	7610	RTO
15.3300781250	0.0000000000	7849	RHS
15.5839843750	0.0000000000	7979	LTO
15.8847656250	0.0000000000	8133	TRIG
15.9804687500	0.0000000000	8182	LHS
16.2089843750	0.0000000000	8299	RTO
16.6796875000	0.0000000000	8540	RHS
16.9140625000	0.0000000000	8660	LTO
17.3398437500	0.0000000000	8878	LHS
17.5781250000	0.0000000000	9000	RTO
17.8847656250	0.0000000000	9157	TRIG
18.0136718750	0.0000000000	9223	RHS
18.2910156250	0.0000000000	9365	LTO
18.7304687500	0.0000000000	9590	LHS
18.9765625000	0.0000000000	9716	RTO
