name	x	y	z
1-A1	-5.168079	6.864288	91.953732
1-A2	-21.985479	5.017388	91.257732
1-A3	-35.067979	3.138388	87.504132
1-A4	-50.288379	3.172388	80.100032
1-A5	-61.843179	27.969188	68.048132
1-A6	-46.120379	51.691888	64.963932
1-A7	-56.073979	53.911688	54.703332
1-A8	-70.647779	50.322688	40.741732
1-A9	-75.245779	53.745788	22.883732
1-A10	-77.620479	52.331188	7.946432
1-A11	-75.539079	51.261188	-11.994568
1-A12	-74.227579	45.790788	-28.333068
1-A14	-93.165979	25.044388	-6.387268
1-A15	-92.401979	25.921088	9.898332
1-A16	-90.145479	28.126588	26.243732
1-A17	-82.967279	27.889288	43.078732
1-A18	-73.288479	31.791088	55.956532
1-A19	-64.107779	2.777488	69.892432
1-A20	-76.188779	1.924088	56.820932
1-A21	-84.730079	-0.168512	43.695032
1-A22	-91.172979	-1.489212	28.368632
1-A23	-96.171579	-3.050512	12.719832
1-A24	-97.027579	-4.898212	-2.341168
1-A25	-93.704779	-7.161112	-17.791268
1-A26	-88.889979	-33.992512	-18.776168
1-A27	-91.628279	-33.067512	-2.036568
1-A28	-89.444079	-32.906612	14.308332
1-A29	-85.364879	-30.497412	29.798332
1-A30	-80.021379	-27.755212	45.878832
1-A31	-68.394479	-27.047912	59.616632
1-A32	-59.757279	-22.966412	70.910632
1-B1	-10.174979	-10.742412	91.536632
1-B2	-24.802279	-18.508012	88.746332
1-B3	-42.510579	-44.329712	71.063832
1-B4	-50.655779	-50.898612	60.383932
1-B5	-66.250179	-49.126912	46.696932
1-B6	-72.385179	-50.216612	32.354632
1-B7	-72.332879	-56.230012	14.767532
1-B8	-73.600279	-57.829012	-1.676068
1-B10	-52.562979	-69.662512	-4.912068
1-B11	-50.462579	-68.997812	13.572932
1-B12	-48.984079	-66.412912	30.339332
1-B13	-49.561079	-61.191912	45.529832
1-B14	-25.888179	-76.875812	12.679932
1-B15	-24.724879	-74.397312	28.697532
1-B16	-24.901279	-69.675712	45.535332
1-B17	-28.563579	-61.619212	58.933732
1-B18	-25.789879	-49.867212	71.813532
1-B19	-26.102479	-32.175812	83.673832
1-B20	-5.953379	-25.858812	88.299732
1-B21	-1.158679	-40.985912	79.662632
1-B22	-2.016379	-53.984112	70.115132
1-B23	0.272121	-64.410112	59.411832
1-B24	-0.372079	-72.474512	44.907532
1-B25	0.798621	-77.896512	29.266432
1-B26	0.978221	-80.379812	14.670532
1-B27	28.717721	-77.423512	15.703532
1-B28	28.503521	-72.820612	31.157632
1-B29	24.977521	-66.653712	47.366932
1-B30	25.697321	-58.101712	59.400032
1-B31	20.912521	-46.946212	70.926032
1-B32	18.723821	-29.726912	82.908032
1-C1	7.914221	-1.589512	90.864732
1-C2	20.310321	-16.154712	87.050232
1-C3	40.522721	-37.122812	71.291932
1-C4	51.306821	-43.292112	61.278332
1-C5	48.041021	-56.110912	48.974632
1-C6	51.862121	-63.720312	33.331832
1-C7	57.648321	-66.650012	18.087832
1-C8	80.463221	-50.686912	22.106532
1-C9	73.706321	-47.410912	35.585932
1-C10	66.780221	-42.990112	50.593532
1-C11	37.839521	-16.248612	80.684732
1-C12	56.304121	-16.725312	73.390532
1-C13	70.546421	-19.643212	64.283432
1-C14	82.447421	-20.386412	53.968132
1-C15	91.785021	-22.191012	41.317132
1-C16	97.814421	-22.956512	27.912232
1-C17	102.614921	5.889688	28.527232
1-C18	96.682021	6.047088	41.133332
1-C19	87.628721	5.766688	53.419032
1-C20	75.353521	8.071788	63.125432
1-C21	59.436921	6.898488	73.819332
1-C22	45.005321	7.615788	80.663232
1-C23	26.249621	7.506688	86.253132
1-C24	35.435721	30.119888	75.463832
1-C25	54.051621	32.572288	67.884432
1-C26	64.871521	34.983488	59.121832
1-C27	77.174221	33.772688	48.252932
1-C28	87.371521	32.825788	36.364732
1-C29	94.400221	33.156688	24.084632
1-C30	73.554621	54.887988	13.568432
1-C31	69.879021	53.831088	28.943032
1-C32	63.836121	49.083788	43.422032
1-D1	8.074221	15.674488	89.718532
1-D2	17.820721	29.159488	83.200732
1-D3	36.401521	49.768988	63.574132
1-D4	45.091121	53.472988	53.260232
1-D5	40.471221	64.063188	37.642332
1-D6	45.995021	69.227188	22.957232
1-D7	48.106821	70.390388	6.198732
1-D8	22.390121	80.813488	1.745932
1-D9	20.927621	78.312088	18.607532
1-D10	18.578821	73.056088	35.386332
1-D11	20.382621	66.703488	48.771532
1-D12	16.403921	56.940188	64.171632
1-D13	14.825121	41.772688	76.802832
1-D14	-8.237479	37.684288	83.950132
1-D15	-10.733179	22.545488	88.991432
1-D16	-26.894579	26.652488	85.452432
1-D17	-27.560879	43.491888	77.337332
1-D18	-5.439879	52.988388	75.011932
1-D19	-5.918779	62.458988	64.767732
1-D20	-6.858879	70.905588	50.771432
1-D21	-5.585879	76.123688	34.251932
1-D22	-4.343279	80.201788	16.301032
1-D25	-31.883079	77.013888	16.976732
1-D26	-30.913479	73.151388	33.567032
1-D27	-33.476479	67.079388	50.878032
1-D28	-29.778879	58.095588	64.687332
1-D29	-52.880879	64.032688	37.304932
1-D30	-55.368279	66.688788	20.095132
1-D31	-55.437479	68.675388	2.616232
1-D32	-54.766979	66.476388	-15.747568
1-EXG1	n/a	n/a	n/a
1-EXG2	n/a	n/a	n/a
1-EXG3	n/a	n/a	n/a
1-EXG4	n/a	n/a	n/a
1-EXG5	n/a	n/a	n/a
1-EXG6	n/a	n/a	n/a
1-EXG7	n/a	n/a	n/a
1-EXG8	n/a	n/a	n/a
2-A1	n/a	n/a	n/a
2-A2	n/a	n/a	n/a
2-A4	n/a	n/a	n/a
2-A5	n/a	n/a	n/a
2-A6	n/a	n/a	n/a
2-A7	n/a	n/a	n/a
2-A8	n/a	n/a	n/a
2-A9	n/a	n/a	n/a
2-A10	n/a	n/a	n/a
2-A11	n/a	n/a	n/a
2-A12	n/a	n/a	n/a
2-A13	n/a	n/a	n/a
2-A14	n/a	n/a	n/a
2-A15	n/a	n/a	n/a
2-A16	n/a	n/a	n/a
2-A17	n/a	n/a	n/a
2-A18	n/a	n/a	n/a
2-A19	n/a	n/a	n/a
2-A20	n/a	n/a	n/a
2-A21	n/a	n/a	n/a
2-A22	n/a	n/a	n/a
2-A23	n/a	n/a	n/a
2-A24	n/a	n/a	n/a
2-A25	n/a	n/a	n/a
2-A26	n/a	n/a	n/a
2-A27	n/a	n/a	n/a
2-A28	n/a	n/a	n/a
2-A29	n/a	n/a	n/a
2-A30	n/a	n/a	n/a
2-A31	n/a	n/a	n/a
2-A32	n/a	n/a	n/a
2-B1	n/a	n/a	n/a
2-B2	n/a	n/a	n/a
2-B3	n/a	n/a	n/a
2-B4	n/a	n/a	n/a
2-B5	n/a	n/a	n/a
2-B6	n/a	n/a	n/a
2-B7	n/a	n/a	n/a
2-B8	n/a	n/a	n/a
2-B9	n/a	n/a	n/a
2-B10	n/a	n/a	n/a
2-B11	n/a	n/a	n/a
2-B12	n/a	n/a	n/a
2-B13	n/a	n/a	n/a
2-B14	n/a	n/a	n/a
2-B15	n/a	n/a	n/a
2-B16	n/a	n/a	n/a
2-B17	n/a	n/a	n/a
2-B19	n/a	n/a	n/a
2-B20	n/a	n/a	n/a
2-B22	n/a	n/a	n/a
2-B23	n/a	n/a	n/a
2-B24	n/a	n/a	n/a
2-B25	n/a	n/a	n/a
2-B26	n/a	n/a	n/a
2-B27	n/a	n/a	n/a
2-B28	n/a	n/a	n/a
2-B29	n/a	n/a	n/a
2-B30	n/a	n/a	n/a
