onset	duration	sample	value
0.5937500000	n/a	304	9633791
9.2578125000	n/a	4740	RHS
9.5000000000	n/a	4864	LTO
10.0097656250	n/a	5125	LHS
10.2187500000	n/a	5232	RTO
10.2265625000	n/a	5236	TRIG
10.7031250000	n/a	5480	RHS
10.9472656250	n/a	5605	LTO
11.4218750000	n/a	5848	LHS
11.6347656250	n/a	5957	RTO
12.1152343750	n/a	6203	RHS
12.2265625000	n/a	6260	TRIG
12.3769531250	n/a	6337	LTO
12.8593750000	n/a	6584	LHS
13.0761718750	n/a	6695	RTO
13.5546875000	n/a	6940	RHS
13.7832031250	n/a	7057	LTO
14.2265625000	n/a	7284	TRIG
14.3203125000	n/a	7332	LHS
14.5195312500	n/a	7434	RTO
14.9941406250	n/a	7677	RHS
15.2246093750	n/a	7795	LTO
15.7500000000	n/a	8064	LHS
15.9765625000	n/a	8180	RTO
16.2265625000	n/a	8308	TRIG
16.4531250000	n/a	8424	RHS
16.7363281250	n/a	8569	LTO
17.1992187500	n/a	8806	LHS
17.4121093750	n/a	8915	RTO
17.8828125000	n/a	9156	RHS
18.1132812500	n/a	9274	LTO
18.2265625000	n/a	9332	TRIG
18.5996093750	n/a	9523	LHS
18.8300781250	n/a	9641	RTO
19.3320312500	n/a	9898	RHS
19.5585937500	n/a	10014	LTO
20.0546875000	n/a	10268	LHS
20.2265625000	n/a	10356	TRIG
20.2578125000	n/a	10372	RTO
20.7773437500	n/a	10638	RHS
20.9921875000	n/a	10748	LTO
21.5097656250	n/a	11013	LHS
21.7207031250	n/a	11121	RTO
22.2265625000	n/a	11380	TRIG
22.2460937500	n/a	11390	RHS
22.4589843750	n/a	11499	LTO
23.0039062500	n/a	11778	LHS
23.1914062500	n/a	11874	RTO
23.6875000000	n/a	12128	RHS
23.9316406250	n/a	12253	LTO
24.2265625000	n/a	12404	TRIG
24.4687500000	n/a	12528	LHS
24.6699218750	n/a	12631	RTO
25.1875000000	n/a	12896	RHS
25.3906250000	n/a	13000	LTO
25.9355468750	n/a	13279	LHS
26.1367187500	n/a	13382	RTO
26.2265625000	n/a	13428	TRIG
26.6621093750	n/a	13651	RHS
26.8906250000	n/a	13768	LTO
27.4042968750	n/a	14031	LHS
27.6093750000	n/a	14136	RTO
28.1425781250	n/a	14409	RHS
28.2265625000	n/a	14452	TRIG
28.3730468750	n/a	14527	LTO
28.8945312500	n/a	14794	LHS
29.1210937500	n/a	14910	RTO
29.5800781250	n/a	15145	RHS
29.8027343750	n/a	15259	LTO
30.2265625000	n/a	15476	TRIG
30.3515625000	n/a	15540	LHS
30.5742187500	n/a	15654	RTO
31.0625000000	n/a	15904	RHS
31.2773437500	n/a	16014	LTO
31.7988281250	n/a	16281	LHS
32.0253906250	n/a	16397	RTO
32.2265625000	n/a	16500	TRIG
32.5019531250	n/a	16641	RHS
32.7500000000	n/a	16768	LTO
33.2675781250	n/a	17033	LHS
33.4941406250	n/a	17149	RTO
33.9687500000	n/a	17392	RHS
34.1796875000	n/a	17500	LTO
34.2265625000	n/a	17524	TRIG
34.6933593750	n/a	17763	LHS
34.9316406250	n/a	17885	RTO
35.3964843750	n/a	18123	RHS
35.6328125000	n/a	18244	LTO
36.1523437500	n/a	18510	LHS
36.2265625000	n/a	18548	TRIG
36.3769531250	n/a	18625	RTO
36.8945312500	n/a	18890	RHS
37.1210937500	n/a	19006	LTO
37.6308593750	n/a	19267	LHS
