name	x	y	z
1-A1	-0.906469	-0.537079	85.830556
1-A2	-15.349469	-1.235079	85.416256
1-A3	-31.665069	0.126621	81.165256
1-A4	-45.706869	-0.888679	74.376456
1-A5	-54.466769	25.289421	65.622756
1-A6	-38.401969	49.307321	63.746156
1-A7	-48.420569	53.306021	51.500756
1-A8	-65.089969	46.895921	39.550656
1-A9	-69.156869	50.391921	23.746156
1-A10	-72.134769	50.764321	7.685856
1-A11	-71.584969	50.194121	-9.063344
1-A12	-71.968769	47.393021	-25.272344
1-A13	-84.907069	24.977421	-21.544744
1-A14	-87.776669	26.627221	-8.033044
1-A15	-86.473569	28.851321	10.061456
1-A16	-82.639569	27.323621	26.143756
1-A17	-75.490969	27.186921	39.173056
1-A18	-63.851769	30.215321	53.951156
1-A19	-57.903469	0.280821	65.140156
1-A20	-69.291969	0.326821	51.447356
1-A21	-76.905369	-0.449179	39.908456
1-A22	-85.343569	0.388521	23.822156
1-A23	-90.121069	-1.004279	9.179856
1-A24	-91.009569	-0.558479	-7.751844
1-A26	-84.336469	-20.775479	-26.419644
1-A27	-85.671169	-23.903679	-8.883944
1-A28	-83.186669	-27.018679	6.987256
1-A29	-78.467769	-28.146279	23.473256
1-A30	-72.625269	-27.091379	36.036956
1-A31	-61.851969	-28.963979	51.210356
1-A32	-53.125769	-24.297979	64.140056
1-B1	-6.462769	-19.863679	84.229056
1-B2	-22.738369	-24.904379	81.010656
1-B3	-41.446969	-45.521579	61.464056
1-B4	-47.577869	-50.595479	48.325956
1-B5	-60.603269	-46.765679	36.368756
1-B6	-65.223269	-48.793179	20.724556
1-B7	-66.926869	-49.029979	3.413856
1-B8	-67.502169	-48.546979	-13.991644
1-B9	-69.895969	-45.216579	-30.331244
1-B10	-50.957969	-63.754979	-16.596744
1-B11	-47.892769	-64.330979	-0.191244
1-B12	-46.259469	-63.885479	17.027456
1-B13	-42.689069	-61.774279	32.689056
1-B14	-26.268369	-74.823179	-3.474244
1-B15	-24.539269	-73.708679	12.676256
1-B16	-22.977069	-71.317579	28.485256
1-B17	-25.762969	-65.089879	44.093556
1-B18	-22.077469	-56.928379	58.451356
1-B19	-22.633869	-45.516779	69.823456
1-B20	-0.362769	-34.160079	78.066056
1-B21	-0.731369	-48.440079	68.348456
1-B22	-0.044269	-59.400879	56.363156
1-B23	1.067231	-68.922079	41.750156
1-B24	1.404231	-74.313079	25.960856
1-B25	-0.885969	-77.378079	9.751756
1-B26	-1.164669	-78.235979	-5.048444
1-B27	23.922431	-73.900079	-6.107244
1-B28	22.718231	-73.694079	9.525456
1-B29	23.618931	-70.255179	25.911456
1-B30	26.648431	-63.110979	41.509356
1-B31	24.424931	-54.745379	54.724856
1-B32	20.007231	-46.392879	64.692156
1-C1	11.713431	-13.032079	83.320356
1-C2	20.740131	-25.374579	76.816856
1-C3	42.325831	-45.077479	56.208356
1-C4	51.754531	-49.286179	45.739456
1-C5	45.161831	-61.926979	28.413756
1-C6	49.923231	-63.558779	13.703456
1-C7	50.534131	-64.109279	-2.117644
1-C8	73.716731	-52.108979	2.223556
1-C9	71.401631	-49.924179	18.462256
1-C10	64.180331	-48.774779	33.784956
1-C11	38.884731	-26.056179	68.808156
1-C12	55.329331	-25.994679	61.281456
1-C13	68.308831	-28.845179	51.030456
1-C14	80.546731	-26.042779	39.397556
1-C15	88.776331	-28.488579	24.190756
1-C16	93.498831	-27.083079	10.736156
1-C17	98.944131	-2.321979	12.870756
1-C18	94.270931	-3.069079	27.916256
1-C19	85.963531	-3.336379	41.380556
1-C20	74.455631	-2.940379	53.203456
1-C21	59.012931	-3.428479	63.914256
1-C22	43.877531	-2.556779	71.382556
1-C23	28.727031	-1.276079	77.416656
1-C24	37.949631	21.332421	71.383356
1-C25	53.972531	20.161521	63.153956
1-C26	67.501131	22.196921	52.401656
1-C27	80.753731	20.983521	39.755256
1-C28	87.945031	22.898021	26.930456
1-C29	93.568631	22.831221	13.085456
1-C30	72.081431	48.315921	4.586856
1-C31	69.077631	45.589021	20.907056
1-C32	64.558631	41.579021	34.434356
1-D1	12.985931	7.803721	83.278056
1-D2	23.529931	20.510821	77.192556
1-D3	41.883331	40.879221	58.095656
1-D4	47.800231	46.853821	46.062956
1-D5	41.858831	57.677821	31.780056
1-D6	45.518131	60.134721	16.799856
1-D7	45.364931	61.422321	-0.578344
1-D8	19.432831	71.088521	-3.102544
1-D9	20.980231	69.969221	13.932256
1-D10	21.819531	66.960721	29.326956
1-D11	22.307431	60.560521	44.427356
1-D12	20.212431	52.189421	57.731356
1-D13	21.498231	43.220521	66.204456
1-D14	0.727331	36.153021	77.067056
1-D15	-6.334369	17.322721	84.558756
1-D16	-21.308569	21.943721	82.320656
1-D17	-21.357169	47.157921	71.587756
1-D18	-2.116169	48.896321	68.494756
1-D19	-1.275169	58.060821	58.511156
1-D20	-2.665069	66.880021	45.081556
1-D21	-3.583669	72.014921	30.028956
1-D22	-3.722469	74.820821	14.048156
1-D23	-3.847469	76.361521	-0.934344
1-D24	-28.345169	73.234921	0.701856
1-D25	-26.986169	72.771821	18.305556
1-D26	-25.224769	71.075321	32.815856
1-D27	-25.974269	65.220021	47.950056
1-D28	-23.245069	56.813721	62.319456
1-D29	-45.643469	63.366021	36.509656
1-D30	-49.918069	65.334821	19.607856
1-D31	-49.953269	66.337721	3.663056
1-D32	-50.970369	65.885421	-10.684844
1-EXG1	n/a	n/a	n/a
1-EXG2	n/a	n/a	n/a
1-EXG3	n/a	n/a	n/a
1-EXG4	n/a	n/a	n/a
1-EXG5	n/a	n/a	n/a
1-EXG6	n/a	n/a	n/a
1-EXG7	n/a	n/a	n/a
1-EXG8	n/a	n/a	n/a
2-A1	n/a	n/a	n/a
2-A2	n/a	n/a	n/a
2-A4	n/a	n/a	n/a
2-A5	n/a	n/a	n/a
2-A6	n/a	n/a	n/a
2-A8	n/a	n/a	n/a
2-A9	n/a	n/a	n/a
2-A10	n/a	n/a	n/a
2-A11	n/a	n/a	n/a
2-A12	n/a	n/a	n/a
2-A13	n/a	n/a	n/a
2-A14	n/a	n/a	n/a
2-A15	n/a	n/a	n/a
2-A16	n/a	n/a	n/a
2-A17	n/a	n/a	n/a
2-A18	n/a	n/a	n/a
2-A19	n/a	n/a	n/a
