onset	duration	sample	value
0.1562500000	0.0000000000	80	9633791
3.6289062500	0.0000000000	1858	LHS
3.8847656250	0.0000000000	1989	RTO
4.3203125000	0.0000000000	2212	RHS
4.5722656250	0.0000000000	2341	LTO
5.0312500000	0.0000000000	2576	LHS
5.2675781250	0.0000000000	2697	RTO
5.3046875000	0.0000000000	2716	TRIG
5.3046875000	0.0000000000	2716	B1
5.7031250000	0.0000000000	2920	RHS
5.9785156250	0.0000000000	3061	LTO
6.3925781250	0.0000000000	3273	LHS
6.6347656250	0.0000000000	3397	RTO
7.0527343750	0.0000000000	3611	RHS
7.3046875000	0.0000000000	3740	TRIG
7.3203125000	0.0000000000	3748	LTO
7.7578125000	0.0000000000	3972	LHS
8.0136718750	0.0000000000	4103	RTO
8.4472656250	0.0000000000	4325	RHS
8.7109375000	0.0000000000	4460	LTO
9.1093750000	0.0000000000	4664	LHS
9.3046875000	0.0000000000	4764	TRIG
9.3730468750	0.0000000000	4799	RTO
9.8144531250	0.0000000000	5025	RHS
10.0839843750	0.0000000000	5163	LTO
10.5234375000	0.0000000000	5388	LHS
10.7753906250	0.0000000000	5517	RTO
11.1738281250	0.0000000000	5721	RHS
11.3046875000	0.0000000000	5788	TRIG
11.4296875000	0.0000000000	5852	LTO
11.8769531250	0.0000000000	6081	LHS
12.1328125000	0.0000000000	6212	RTO
12.5585937500	0.0000000000	6430	RHS
12.8320312500	0.0000000000	6570	LTO
13.2519531250	0.0000000000	6785	LHS
13.3046875000	0.0000000000	6812	TRIG
13.4921875000	0.0000000000	6908	RTO
13.9414062500	0.0000000000	7138	RHS
14.2050781250	0.0000000000	7273	LTO
14.6445312500	0.0000000000	7498	LHS
14.9003906250	0.0000000000	7629	RTO
15.3046875000	0.0000000000	7836	TRIG
15.3203125000	0.0000000000	7844	RHS
15.6152343750	0.0000000000	7995	LTO
16.0371093750	0.0000000000	8211	LHS
16.2949218750	0.0000000000	8343	RTO
16.7343750000	0.0000000000	8568	RHS
17.0253906250	0.0000000000	8717	LTO
17.3046875000	0.0000000000	8860	TRIG
17.4628906250	0.0000000000	8941	LHS
17.6992187500	0.0000000000	9062	RTO
18.1386718750	0.0000000000	9287	RHS
18.4101562500	0.0000000000	9426	LTO
18.8496093750	0.0000000000	9651	LHS
19.0976562500	0.0000000000	9778	RTO
19.3046875000	0.0000000000	9884	TRIG
19.5253906250	0.0000000000	9997	RHS
19.8144531250	0.0000000000	10145	LTO
20.2695312500	0.0000000000	10378	LHS
20.5136718750	0.0000000000	10503	RTO
