onset	duration	sample	value
0.1406250000	n/a	72	9633791
8.6835937500	n/a	4446	LHS
8.9277343750	n/a	4571	RTO
9.3886718750	n/a	4807	RHS
9.6855468750	n/a	4959	TRIG
9.6992187500	n/a	4966	LTO
10.1542968750	n/a	5199	LHS
10.4179687500	n/a	5334	RTO
10.8730468750	n/a	5567	RHS
11.1796875000	n/a	5724	LTO
11.6679687500	n/a	5974	LHS
11.6855468750	n/a	5983	TRIG
11.9003906250	n/a	6093	RTO
12.3300781250	n/a	6313	RHS
12.6132812500	n/a	6458	LTO
13.0683593750	n/a	6691	LHS
13.3242187500	n/a	6822	RTO
13.6855468750	n/a	7007	TRIG
13.7343750000	n/a	7032	RHS
14.0156250000	n/a	7176	LTO
14.5253906250	n/a	7437	LHS
14.7753906250	n/a	7565	RTO
15.2265625000	n/a	7796	RHS
15.5234375000	n/a	7948	LTO
15.6855468750	n/a	8031	TRIG
16.0000000000	n/a	8192	LHS
16.2617187500	n/a	8326	RTO
16.7597656250	n/a	8581	RHS
17.0429687500	n/a	8726	LTO
17.5312500000	n/a	8976	LHS
17.6855468750	n/a	9055	TRIG
17.7792968750	n/a	9103	RTO
18.2460937500	n/a	9342	RHS
18.5527343750	n/a	9499	LTO
19.0195312500	n/a	9738	LHS
19.2617187500	n/a	9862	RTO
19.6855468750	n/a	10079	TRIG
19.7148437500	n/a	10094	RHS
20.0000000000	n/a	10240	LTO
20.4785156250	n/a	10485	LHS
20.7226562500	n/a	10610	RTO
21.2246093750	n/a	10867	RHS
21.5371093750	n/a	11027	LTO
21.6855468750	n/a	11103	TRIG
22.0292968750	n/a	11279	LHS
22.3046875000	n/a	11420	RTO
22.8613281250	n/a	11705	RHS
23.1718750000	n/a	11864	LTO
23.6347656250	n/a	12101	LHS
23.6855468750	n/a	12127	TRIG
23.8730468750	n/a	12223	RTO
24.3691406250	n/a	12477	RHS
24.6660156250	n/a	12629	LTO
25.1269531250	n/a	12865	LHS
25.3730468750	n/a	12991	RTO
25.6855468750	n/a	13151	TRIG
25.8300781250	n/a	13225	RHS
26.1152343750	n/a	13371	LTO
26.6171875000	n/a	13628	LHS
26.8906250000	n/a	13768	RTO
27.3437500000	n/a	14000	RHS
27.6171875000	n/a	14140	LTO
27.6855468750	n/a	14175	TRIG
28.1230468750	n/a	14399	LHS
28.3769531250	n/a	14529	RTO
28.8359375000	n/a	14764	RHS
29.1562500000	n/a	14928	LTO
29.6035156250	n/a	15157	LHS
29.6855468750	n/a	15199	TRIG
29.8730468750	n/a	15295	RTO
30.4023437500	n/a	15566	RHS
30.8378906250	n/a	15789	LTO
31.3085937500	n/a	16030	LHS
31.5605468750	n/a	16159	RTO
31.6855468750	n/a	16223	TRIG
32.0292968750	n/a	16399	RHS
32.3417968750	n/a	16559	LTO
32.8183593750	n/a	16803	LHS
33.0898437500	n/a	16942	RTO
33.5742187500	n/a	17190	RHS
33.6855468750	n/a	17247	TRIG
33.8925781250	n/a	17353	LTO
34.3906250000	n/a	17608	LHS
