name	x	y	z
1-A1	-2.876691	-3.503996	91.784316
1-A2	-20.441491	-3.910096	90.644616
1-A3	-35.539191	-4.533596	86.310916
1-A4	-51.820791	-4.016296	79.317516
1-A5	-60.222991	22.583804	69.656816
1-A6	-42.045191	46.922804	66.000416
1-A7	-51.377791	52.263404	54.504616
1-A8	-65.829391	49.090204	40.619516
1-A9	-69.150191	52.500604	22.783816
1-A10	-70.639991	53.428404	6.302116
1-A11	-69.637991	55.213804	-13.277984
1-A12	-68.848091	52.915304	-31.423384
1-A13	-87.749791	28.037604	-27.399484
1-A14	-90.308391	29.903404	-10.380784
1-A15	-90.527191	28.856804	7.355416
1-A16	-87.465191	28.586204	24.457616
1-A17	-80.757691	26.593604	41.783316
1-A18	-72.091591	29.186004	54.423616
1-A19	-66.724291	-2.707396	69.787716
1-A20	-78.317791	-2.323396	57.522516
1-A21	-86.879491	-1.185196	42.845816
1-A22	-93.339391	0.046304	25.182716
1-A23	-96.348891	-0.539096	8.992916
1-A24	-97.246491	0.042004	-7.731784
1-A25	-93.829691	0.082604	-24.858984
1-A26	-88.418791	-26.774696	-26.300684
1-A27	-92.795391	-28.340396	-9.697784
1-A28	-93.080491	-29.198896	7.547416
1-A29	-88.662891	-30.495396	24.839416
1-A30	-83.027991	-29.196596	42.107116
1-A31	-72.205191	-31.247996	56.236216
1-A32	-61.959591	-28.433596	68.671816
1-B1	-9.738891	-19.933596	88.891816
1-B2	-25.469091	-28.190196	84.721316
1-B3	-46.487391	-48.651296	65.084516
1-B4	-55.093291	-53.151096	53.441916
1-B5	-71.170491	-49.729896	39.518516
1-B6	-76.704091	-50.696996	25.026116
1-B7	-76.621891	-53.581796	5.927316
1-B8	-75.734591	-52.015696	-11.610584
1-B9	-74.604691	-48.092396	-29.334284
1-B10	-56.719791	-66.155896	-14.701684
1-B11	-56.427591	-67.713296	3.283216
1-B12	-53.699091	-66.157996	19.757916
1-B13	-53.445391	-62.194896	35.900116
1-B14	-31.279691	-76.609296	1.243516
1-B15	-29.034491	-74.979596	17.642716
1-B16	-28.872091	-71.002796	34.792416
1-B17	-32.453991	-64.411796	50.006616
1-B18	-27.975691	-55.617496	63.828916
1-B19	-28.297891	-39.337196	77.674816
1-B20	-6.038291	-35.021796	82.840116
1-B21	-5.732991	-48.899896	73.223216
1-B22	-4.137591	-59.164396	62.374316
1-B23	-2.923991	-68.146796	49.495116
1-B24	-4.829391	-74.331596	33.526716
1-B25	-3.762691	-78.404096	18.465916
1-B26	-4.250291	-80.662196	3.420216
1-B27	23.459309	-77.860796	3.285816
1-B28	22.998309	-75.364396	20.652616
1-B29	21.657709	-70.070596	36.387316
1-B30	22.950109	-63.187596	49.901516
1-B31	19.032409	-53.899096	64.093016
1-B32	18.115309	-38.894296	77.159816
1-C1	10.783809	-12.720196	89.430416
1-C2	19.613409	-25.298896	83.109016
1-C3	40.134609	-46.138196	63.963016
1-C4	48.603309	-52.041996	52.942416
1-C5	44.125509	-63.187896	38.158116
1-C6	47.578709	-67.645296	22.633716
1-C7	52.202309	-69.017696	6.307316
1-C8	74.868609	-56.207596	9.439916
1-C9	71.079309	-54.735896	25.676116
1-C10	64.560409	-50.299996	41.676716
1-C11	38.608109	-26.679396	76.705416
1-C12	56.062009	-26.702996	68.352716
1-C13	68.454809	-29.835896	57.108816
1-C14	79.798109	-28.828496	46.828916
1-C15	89.236609	-31.014496	33.687216
1-C16	94.604909	-30.712296	20.081816
1-C17	101.221309	-2.395196	22.632716
1-C18	95.955309	-2.100496	35.758716
1-C19	88.059609	-1.394196	48.236916
1-C20	76.091609	-2.151196	60.310916
1-C21	60.856509	-1.930396	71.374016
1-C22	45.495009	-2.463296	79.306516
1-C23	27.942709	-2.814896	86.120916
1-C24	39.462809	22.356404	78.821916
1-C25	57.043209	24.734704	69.103016
1-C26	69.859809	27.779204	59.527016
1-C27	82.154009	27.547204	47.984016
1-C28	90.777709	28.788304	34.519416
1-C29	95.466809	28.325004	20.751016
1-C30	79.711709	52.916304	16.132316
1-C31	77.544409	50.219104	31.641216
1-C32	71.450409	45.775004	44.888716
1-D1	9.881009	5.632204	90.469216
1-D2	20.626909	20.696304	84.747216
1-D3	43.448109	43.531004	66.374816
1-D4	53.433509	48.913804	56.673416
1-D5	48.884609	61.366304	41.372316
1-D6	52.804109	66.487204	26.221316
1-D7	56.797309	68.149804	8.774316
1-D8	30.291409	77.155004	5.421816
1-D9	28.836709	75.530404	23.578916
1-D10	25.423809	70.653104	39.466316
1-D11	26.510909	62.702204	53.161116
1-D12	23.110509	51.978104	67.686116
1-D13	20.551909	36.687104	79.912716
1-D14	-4.100691	30.782204	84.058616
1-D15	-9.287691	14.559604	89.448716
1-D16	-24.173391	20.501704	86.379516
1-D17	-24.276891	35.417004	81.314416
1-D18	-0.785391	44.928304	77.005316
1-D19	-0.220391	56.785004	66.824516
1-D20	-0.638191	66.246904	53.964716
1-D21	0.538809	73.531504	37.786716
1-D22	3.007209	78.169204	20.461116
1-D23	4.174009	80.418004	2.807816
1-D24	-22.566391	77.970604	2.621916
1-D25	-23.687891	75.427504	19.202216
1-D26	-23.753791	71.191704	35.599416
1-D27	-26.779891	63.487304	53.210516
1-D28	-24.909291	53.033904	67.257916
1-D29	-46.434891	62.121604	38.360116
1-D30	-47.448291	66.875004	20.321416
1-D31	-48.578491	69.487704	2.640616
1-D32	-49.082791	68.796604	-15.685284
1-EXG1	n/a	n/a	n/a
1-EXG2	n/a	n/a	n/a
1-EXG3	n/a	n/a	n/a
1-EXG4	n/a	n/a	n/a
1-EXG5	n/a	n/a	n/a
1-EXG6	n/a	n/a	n/a
1-EXG7	n/a	n/a	n/a
1-EXG8	n/a	n/a	n/a
2-A1	n/a	n/a	n/a
2-A2	n/a	n/a	n/a
2-A3	n/a	n/a	n/a
2-A4	n/a	n/a	n/a
2-A5	n/a	n/a	n/a
2-A6	n/a	n/a	n/a
2-A7	n/a	n/a	n/a
2-A8	n/a	n/a	n/a
2-A9	n/a	n/a	n/a
2-A10	n/a	n/a	n/a
2-A11	n/a	n/a	n/a
2-A13	n/a	n/a	n/a
2-A14	n/a	n/a	n/a
2-A15	n/a	n/a	n/a
2-A16	n/a	n/a	n/a
2-A17	n/a	n/a	n/a
2-A18	n/a	n/a	n/a
2-A19	n/a	n/a	n/a
2-A20	n/a	n/a	n/a
2-A21	n/a	n/a	n/a
2-A22	n/a	n/a	n/a
2-A23	n/a	n/a	n/a
2-A24	n/a	n/a	n/a
2-A26	n/a	n/a	n/a
2-A27	n/a	n/a	n/a
2-A28	n/a	n/a	n/a
2-A29	n/a	n/a	n/a
2-A30	n/a	n/a	n/a
2-A31	n/a	n/a	n/a
2-B1	n/a	n/a	n/a
2-B2	n/a	n/a	n/a
2-B3	n/a	n/a	n/a
2-B4	n/a	n/a	n/a
2-B5	n/a	n/a	n/a
2-B6	n/a	n/a	n/a
2-B7	n/a	n/a	n/a
2-B8	n/a	n/a	n/a
2-B9	n/a	n/a	n/a
