name	x	y	z
1-A1	10.592868	-5.958520	93.373385
1-A2	-6.176532	-4.448720	94.306285
1-A3	-22.375132	-6.884820	92.805085
1-A4	-36.860032	-7.105120	88.497085
1-A5	-49.724932	20.534280	81.131585
1-A6	-32.765332	43.988580	78.873485
1-A7	-44.034932	48.315280	70.139785
1-A8	-60.197232	47.374380	58.822985
1-A9	-67.484832	51.679980	43.281185
1-A10	-73.620432	54.715080	27.515685
1-A11	-75.423132	57.765180	9.480585
1-A12	-78.164132	55.746080	-7.898515
1-A13	-98.221232	29.485380	-2.719915
1-A14	-95.587432	29.132180	14.691785
1-A15	-90.788932	27.822880	32.135185
1-A16	-84.156932	27.201380	45.983785
1-A17	-73.562732	23.760180	60.741285
1-A18	-60.875532	25.529980	71.635085
1-A19	-52.784532	-5.582220	80.982285
1-A20	-65.794132	-3.748820	72.097185
1-A21	-79.103032	-4.571920	59.411785
1-A22	-88.624832	-2.661420	46.424685
1-A23	-95.977832	-1.355520	31.708285
1-A24	-100.474432	-1.820420	15.542185
1-A25	-102.759632	-0.453720	0.154785
1-A26	-96.179032	-29.894020	-4.442215
1-A27	-95.181032	-30.458820	10.145985
1-A28	-90.937732	-31.570320	27.790085
1-A29	-83.054632	-31.913420	42.850385
1-A30	-73.566032	-30.559020	58.115885
1-B3	-33.560132	-51.126720	73.579585
1-B4	-43.950432	-56.295720	62.836085
1-B5	-61.772532	-51.921920	53.321185
1-B6	-68.523232	-53.401720	39.380985
1-B7	-72.135332	-56.983720	23.417885
1-B8	-76.952232	-55.469320	4.689485
1-B9	-79.053532	-52.046220	-11.508215
1-B10	-56.558232	-68.718020	-1.897815
1-B11	-51.998732	-69.853520	16.585285
1-B12	-46.201932	-70.031220	30.061985
1-B13	-43.529932	-66.183820	47.046985
1-B14	-27.813132	-78.592320	9.821285
1-B15	-21.829332	-78.686720	26.075785
1-B16	-20.337732	-74.941720	43.494085
1-B17	-23.078332	-67.718720	58.274585
1-B18	-14.493032	-58.139420	71.089485
1-B19	-14.554632	-41.114420	83.548685
1-B20	4.784868	-36.814220	85.008085
1-B21	6.623268	-50.851520	77.034985
1-B22	4.785468	-63.851720	65.480085
1-B23	6.320868	-71.159720	54.529085
1-B24	4.040568	-77.850820	40.034485
1-B25	2.610068	-81.425920	23.720685
1-B26	2.146068	-82.157520	8.240585
1-B27	27.443268	-78.996220	6.209185
1-B28	30.620768	-77.723920	22.917785
1-B29	29.801168	-73.859820	39.323585
1-B30	33.070368	-65.975720	53.002285
1-B31	30.393068	-56.225120	65.318285
