onset	duration	sample	value
0.1093750000	n/a	56	9633791
1.1777343750	n/a	603	LHS
1.4414062500	n/a	738	RTO
1.9238281250	n/a	985	RHS
2.2207031250	n/a	1137	LTO
2.7363281250	n/a	1401	LHS
3.0156250000	n/a	1544	RTO
3.5058593750	n/a	1795	RHS
3.8320312500	n/a	1962	LTO
4.3437500000	n/a	2224	LHS
4.6113281250	n/a	2361	RTO
5.0898437500	n/a	2606	RHS
5.3789062500	n/a	2754	TRIG
5.3984375000	n/a	2764	LTO
5.9746093750	n/a	3059	LHS
6.2597656250	n/a	3205	RTO
6.7578125000	n/a	3460	RHS
7.0332031250	n/a	3601	LTO
7.3789062500	n/a	3778	TRIG
7.5800781250	n/a	3881	LHS
7.8632812500	n/a	4026	RTO
8.3613281250	n/a	4281	RHS
8.6562500000	n/a	4432	LTO
9.1582031250	n/a	4689	LHS
9.3789062500	n/a	4802	TRIG
9.4238281250	n/a	4825	RTO
9.9375000000	n/a	5088	RHS
10.2421875000	n/a	5244	LTO
10.8027343750	n/a	5531	LHS
11.0898437500	n/a	5678	RTO
11.3789062500	n/a	5826	TRIG
11.5449218750	n/a	5911	RHS
11.8496093750	n/a	6067	LTO
12.3574218750	n/a	6327	LHS
12.6289062500	n/a	6466	RTO
13.0996093750	n/a	6707	RHS
13.3789062500	n/a	6850	TRIG
13.4062500000	n/a	6864	LTO
13.9277343750	n/a	7131	LHS
14.1875000000	n/a	7264	RTO
14.6523437500	n/a	7502	RHS
14.9628906250	n/a	7661	LTO
15.3789062500	n/a	7874	TRIG
15.4804687500	n/a	7926	LHS
15.7714843750	n/a	8075	RTO
16.2695312500	n/a	8330	RHS
16.5371093750	n/a	8467	LTO
17.0390625000	n/a	8724	LHS
17.3261718750	n/a	8871	RTO
17.3789062500	n/a	8898	TRIG
17.8261718750	n/a	9127	RHS
18.1386718750	n/a	9287	LTO
18.6386718750	n/a	9543	LHS
18.8945312500	n/a	9674	RTO
19.3671875000	n/a	9916	RHS
