onset	duration	sample	value
0.3593750000	n/a	184	9633791
1.1621093750	n/a	595	RHS
1.3984375000	n/a	716	LTO
1.9199218750	n/a	983	LHS
2.1777343750	n/a	1115	RTO
2.6875000000	n/a	1376	RHS
2.9492187500	n/a	1510	LTO
3.3417968750	n/a	1711	TRIG
3.4003906250	n/a	1741	LHS
3.6425781250	n/a	1865	RTO
4.1816406250	n/a	2141	RHS
4.4550781250	n/a	2281	LTO
4.9277343750	n/a	2523	LHS
5.1679687500	n/a	2646	RTO
5.3417968750	n/a	2735	TRIG
5.6777343750	n/a	2907	RHS
5.9570312500	n/a	3050	LTO
6.4804687500	n/a	3318	LHS
6.7343750000	n/a	3448	RTO
7.1816406250	n/a	3677	RHS
7.3417968750	n/a	3759	TRIG
7.4355468750	n/a	3807	LTO
7.9257812500	n/a	4058	LHS
8.1621093750	n/a	4179	RTO
8.6523437500	n/a	4430	RHS
8.8945312500	n/a	4554	LTO
9.3417968750	n/a	4783	TRIG
9.3886718750	n/a	4807	LHS
9.6542968750	n/a	4943	RTO
10.1113281250	n/a	5177	RHS
10.3339843750	n/a	5291	LTO
10.8476562500	n/a	5554	LHS
11.0917968750	n/a	5679	RTO
11.3417968750	n/a	5807	TRIG
11.5683593750	n/a	5923	RHS
11.7949218750	n/a	6039	LTO
12.2558593750	n/a	6275	LHS
12.4824218750	n/a	6391	RTO
12.9843750000	n/a	6648	RHS
13.2226562500	n/a	6770	LTO
13.3417968750	n/a	6831	TRIG
13.7324218750	n/a	7031	LHS
13.9687500000	n/a	7152	RTO
14.4589843750	n/a	7403	RHS
14.7246093750	n/a	7539	LTO
15.1933593750	n/a	7779	LHS
15.3417968750	n/a	7855	TRIG
15.4316406250	n/a	7901	RTO
15.8828125000	n/a	8132	RHS
16.0917968750	n/a	8239	LTO
16.6191406250	n/a	8509	LHS
16.8925781250	n/a	8649	RTO
17.2968750000	n/a	8856	RHS
17.3398437500	n/a	8878	TRIG
17.5039062500	n/a	8962	LTO
17.9687500000	n/a	9200	LHS
18.2343750000	n/a	9336	RTO
18.7148437500	n/a	9582	RHS
18.9628906250	n/a	9709	LTO
19.3417968750	n/a	9903	TRIG
19.3886718750	n/a	9927	LHS
19.6328125000	n/a	10052	RTO
20.1523437500	n/a	10318	RHS
20.3730468750	n/a	10431	LTO
20.8027343750	n/a	10651	LHS
21.0527343750	n/a	10779	RTO
21.3398437500	n/a	10926	TRIG
21.5156250000	n/a	11016	RHS
21.7441406250	n/a	11133	LTO
22.2382812500	n/a	11386	LHS
22.4687500000	n/a	11504	RTO
22.8925781250	n/a	11721	RHS
23.1035156250	n/a	11829	LTO
23.3398437500	n/a	11950	TRIG
23.5605468750	n/a	12063	LHS
23.8203125000	n/a	12196	RTO
24.2949218750	n/a	12439	RHS
24.5175781250	n/a	12553	LTO
24.9589843750	n/a	12779	LHS
25.1953125000	n/a	12900	RTO
25.3398437500	n/a	12974	TRIG
25.6894531250	n/a	13153	RHS
25.9199218750	n/a	13271	LTO
26.3671875000	n/a	13500	LHS
26.5898437500	n/a	13614	RTO
27.0449218750	n/a	13847	RHS
27.2656250000	n/a	13960	LTO
27.3398437500	n/a	13998	TRIG
27.7460937500	n/a	14206	LHS
28.0019531250	n/a	14337	RTO
28.4941406250	n/a	14589	RHS
28.7421875000	n/a	14716	LTO
29.3027343750	n/a	15003	LHS
29.3398437500	n/a	15022	TRIG
29.5585937500	n/a	15134	RTO
30.0917968750	n/a	15407	RHS
30.3378906250	n/a	15533	LTO
30.8730468750	n/a	15807	LHS
31.1464843750	n/a	15947	RTO
31.3398437500	n/a	16046	TRIG
31.7109375000	n/a	16236	RHS
31.9941406250	n/a	16381	LTO
32.4824218750	n/a	16631	LHS
32.7714843750	n/a	16779	RTO
33.2246093750	n/a	17011	RHS
33.3398437500	n/a	17070	TRIG
33.4746093750	n/a	17139	LTO
34.0390625000	n/a	17428	LHS
34.3183593750	n/a	17571	RTO
34.8300781250	n/a	17833	RHS
35.0800781250	n/a	17961	LTO
35.3398437500	n/a	18094	TRIG
35.5761718750	n/a	18215	LHS
35.8378906250	n/a	18349	RTO
36.4140625000	n/a	18644	RHS
36.6699218750	n/a	18775	LTO
37.1406250000	n/a	19016	LHS
37.3398437500	n/a	19118	TRIG
37.4023437500	n/a	19150	RTO
37.9160156250	n/a	19413	RHS
38.1542968750	n/a	19535	LTO
38.6191406250	n/a	19773	LHS
38.8808593750	n/a	19907	RTO
39.3398437500	n/a	20142	TRIG
39.3808593750	n/a	20163	RHS
39.6406250000	n/a	20296	LTO
40.0898437500	n/a	20526	LHS
40.3593750000	n/a	20664	RTO
40.8554687500	n/a	20918	RHS
41.1347656250	n/a	21061	LTO
41.3398437500	n/a	21166	TRIG
41.5742187500	n/a	21286	LHS
41.8476562500	n/a	21426	RTO
42.3339843750	n/a	21675	RHS
42.5800781250	n/a	21801	LTO
43.1035156250	n/a	22069	LHS
43.3398437500	n/a	22190	TRIG
43.3613281250	n/a	22201	RTO
43.8164062500	n/a	22434	RHS
44.0488281250	n/a	22553	LTO
44.5351562500	n/a	22802	LHS
44.8164062500	n/a	22946	RTO
45.3125000000	n/a	23200	RHS
45.3398437500	n/a	23214	TRIG
45.5566406250	n/a	23325	LTO
46.0156250000	n/a	23560	LHS
46.2773437500	n/a	23694	RTO
46.7988281250	n/a	23961	RHS
47.0390625000	n/a	24084	LTO
47.3398437500	n/a	24238	TRIG
47.4667968750	n/a	24303	LHS
47.7070312500	n/a	24426	RTO
48.2363281250	n/a	24697	RHS
48.4902343750	n/a	24827	LTO
49.0195312500	n/a	25098	LHS
49.2695312500	n/a	25226	RTO
49.3398437500	n/a	25262	TRIG
49.7402343750	n/a	25467	RHS
49.9648437500	n/a	25582	LTO
50.4453125000	n/a	25828	LHS
50.7148437500	n/a	25966	RTO
51.2050781250	n/a	26217	RHS
51.3398437500	n/a	26286	TRIG
51.4628906250	n/a	26349	LTO
51.9980468750	n/a	26623	LHS
52.2656250000	n/a	26760	RTO
52.7324218750	n/a	26999	RHS
52.9589843750	n/a	27115	LTO
53.3398437500	n/a	27310	TRIG
53.4316406250	n/a	27357	LHS
53.7050781250	n/a	27497	RTO
54.2089843750	n/a	27755	RHS
54.4492187500	n/a	27878	LTO
54.9492187500	n/a	28134	LHS
55.2343750000	n/a	28280	RTO
55.3398437500	n/a	28334	TRIG
55.7148437500	n/a	28526	RHS
55.9453125000	n/a	28644	LTO
56.5019531250	n/a	28929	LHS
56.7695312500	n/a	29066	RTO
57.2285156250	n/a	29301	RHS
57.3398437500	n/a	29358	TRIG
57.4726562500	n/a	29426	LTO
57.9433593750	n/a	29667	LHS
58.2187500000	n/a	29808	RTO
58.7617187500	n/a	30086	RHS
58.9921875000	n/a	30204	LTO
59.3398437500	n/a	30382	TRIG
59.4570312500	n/a	30442	LHS
59.7304687500	n/a	30582	RTO
60.2167968750	n/a	30831	RHS
60.4921875000	n/a	30972	LTO
60.9472656250	n/a	31205	LHS
61.2050781250	n/a	31337	RTO
61.3398437500	n/a	31406	TRIG
61.6660156250	n/a	31573	RHS
61.9003906250	n/a	31693	LTO
62.4375000000	n/a	31968	LHS
62.6875000000	n/a	32096	RTO
63.1484375000	n/a	32332	RHS
63.3398437500	n/a	32430	TRIG
63.4140625000	n/a	32468	LTO
63.9160156250	n/a	32725	LHS
64.1523437500	n/a	32846	RTO
64.6738281250	n/a	33113	RHS
64.9121093750	n/a	33235	LTO
65.3398437500	n/a	33454	TRIG
65.3691406250	n/a	33469	LHS
65.6191406250	n/a	33597	RTO
66.1152343750	n/a	33851	RHS
66.3476562500	n/a	33970	LTO
66.8730468750	n/a	34239	LHS
67.1230468750	n/a	34367	RTO
67.3398437500	n/a	34478	TRIG
67.6074218750	n/a	34615	RHS
67.8339843750	n/a	34731	LTO
68.3496093750	n/a	34995	LHS
68.5976562500	n/a	35122	RTO
69.0527343750	n/a	35355	RHS
69.2792968750	n/a	35471	LTO
69.3398437500	n/a	35502	TRIG
69.7695312500	n/a	35722	LHS
70.0253906250	n/a	35853	RTO
70.4687500000	n/a	36080	RHS
70.7050781250	n/a	36201	LTO
71.1503906250	n/a	36429	LHS
71.3398437500	n/a	36526	TRIG
71.3945312500	n/a	36554	RTO
71.8945312500	n/a	36810	RHS
72.1367187500	n/a	36934	LTO
72.6113281250	n/a	37177	LHS
72.8652343750	n/a	37307	RTO
73.3359375000	n/a	37548	RHS
73.3398437500	n/a	37550	TRIG
