onset	duration	sample	value
0.2031250000	n/a	104	9633791
3.2714843750	n/a	1675	RHS
3.4960937500	n/a	1790	LTO
3.9257812500	n/a	2010	LHS
4.1738281250	n/a	2137	RTO
4.5878906250	n/a	2349	RHS
4.8105468750	n/a	2463	LTO
5.2636718750	n/a	2695	LHS
5.5234375000	n/a	2828	RTO
5.9160156250	n/a	3029	RHS
6.1328125000	n/a	3140	LTO
6.5351562500	n/a	3346	LHS
6.7753906250	n/a	3469	RTO
7.1718750000	n/a	3672	RHS
7.3984375000	n/a	3788	LTO
7.8046875000	n/a	3996	LHS
8.0507812500	n/a	4122	RTO
8.4785156250	n/a	4341	RHS
8.7011718750	n/a	4455	LTO
9.0976562500	n/a	4658	LHS
9.3417968750	n/a	4783	RTO
9.7343750000	n/a	4984	RHS
9.9804687500	n/a	5110	LTO
10.4238281250	n/a	5337	LHS
10.6640625000	n/a	5460	RTO
11.0781250000	n/a	5672	RHS
11.3066406250	n/a	5789	LTO
11.7578125000	n/a	6020	LHS
12.0136718750	n/a	6151	RTO
12.4589843750	n/a	6379	RHS
12.6640625000	n/a	6484	TRIG
12.7050781250	n/a	6505	LTO
13.2070312500	n/a	6762	LHS
13.4941406250	n/a	6909	RTO
13.8984375000	n/a	7116	RHS
14.1445312500	n/a	7242	LTO
14.5839843750	n/a	7467	LHS
14.6640625000	n/a	7508	TRIG
14.7949218750	n/a	7575	RTO
15.1562500000	n/a	7760	RHS
15.4042968750	n/a	7887	LTO
15.7597656250	n/a	8069	LHS
16.0058593750	n/a	8195	RTO
16.4042968750	n/a	8399	RHS
16.6347656250	n/a	8517	LTO
16.6640625000	n/a	8532	TRIG
17.0312500000	n/a	8720	LHS
17.2597656250	n/a	8837	RTO
17.6855468750	n/a	9055	RHS
17.9335937500	n/a	9182	LTO
18.3300781250	n/a	9385	LHS
18.5800781250	n/a	9513	RTO
18.6640625000	n/a	9556	TRIG
19.0019531250	n/a	9729	RHS
19.2207031250	n/a	9841	LTO
19.6914062500	n/a	10082	LHS
19.9531250000	n/a	10216	RTO
20.3105468750	n/a	10399	RHS
20.5351562500	n/a	10514	LTO
20.6640625000	n/a	10580	TRIG
20.9316406250	n/a	10717	LHS
21.1621093750	n/a	10835	RTO
21.6093750000	n/a	11064	RHS
21.8476562500	n/a	11186	LTO
22.2382812500	n/a	11386	LHS
22.5136718750	n/a	11527	RTO
22.6640625000	n/a	11604	TRIG
22.9140625000	n/a	11732	RHS
23.1503906250	n/a	11853	LTO
23.5664062500	n/a	12066	LHS
23.8437500000	n/a	12208	RTO
24.2539062500	n/a	12418	RHS
24.4902343750	n/a	12539	LTO
24.6640625000	n/a	12628	TRIG
24.9082031250	n/a	12753	LHS
25.1816406250	n/a	12893	RTO
25.6074218750	n/a	13111	RHS
25.8300781250	n/a	13225	LTO
26.2851562500	n/a	13458	LHS
26.5507812500	n/a	13594	RTO
26.6640625000	n/a	13652	TRIG
26.9765625000	n/a	13812	RHS
27.1933593750	n/a	13923	LTO
27.6171875000	n/a	14140	LHS
27.8632812500	n/a	14266	RTO
28.2929687500	n/a	14486	RHS
28.5136718750	n/a	14599	LTO
28.6640625000	n/a	14676	TRIG
28.9570312500	n/a	14826	LHS
29.2382812500	n/a	14970	RTO
29.5683593750	n/a	15139	RHS
29.7832031250	n/a	15249	LTO
30.2500000000	n/a	15488	LHS
30.5117187500	n/a	15622	RTO
30.6640625000	n/a	15700	TRIG
30.8789062500	n/a	15810	RHS
31.1250000000	n/a	15936	LTO
31.5253906250	n/a	16141	LHS
31.7832031250	n/a	16273	RTO
32.1718750000	n/a	16472	RHS
32.4355468750	n/a	16607	LTO
32.6640625000	n/a	16724	TRIG
32.8554687500	n/a	16822	LHS
33.1074218750	n/a	16951	RTO
33.5390625000	n/a	17172	RHS
33.7792968750	n/a	17295	LTO
34.2207031250	n/a	17521	LHS
34.4531250000	n/a	17640	RTO
34.6640625000	n/a	17748	TRIG
34.8828125000	n/a	17860	RHS
35.1269531250	n/a	17985	LTO
35.5937500000	n/a	18224	LHS
35.8320312500	n/a	18346	RTO
36.2226562500	n/a	18546	RHS
36.4648437500	n/a	18670	LTO
36.6640625000	n/a	18772	TRIG
36.9121093750	n/a	18899	LHS
37.1445312500	n/a	19018	RTO
37.5976562500	n/a	19250	RHS
37.8515625000	n/a	19380	LTO
38.2929687500	n/a	19606	LHS
38.5390625000	n/a	19732	RTO
38.6640625000	n/a	19796	TRIG
38.9453125000	n/a	19940	RHS
