name	x	y	z
1-A1	8.790513	1.565684	92.965404
1-A2	-9.552787	1.287484	93.297504
1-A3	-24.591387	2.092384	92.638204
1-A4	-40.251187	1.793484	87.131104
1-A5	-49.353187	26.518184	78.276204
1-A6	-31.725787	51.500784	74.353204
1-A7	-42.537487	54.523484	66.384704
1-A8	-60.059687	52.600484	51.812404
1-A9	-65.602187	58.729584	36.993404
1-A10	-70.947187	59.563184	20.118604
1-A11	-71.339187	60.602484	1.603504
1-A12	-73.493587	57.318284	-16.505496
1-A13	-91.912687	33.175584	-12.099696
1-A15	-87.760987	33.284084	23.846204
1-A16	-83.127287	32.795984	39.582704
1-A17	-74.442287	30.746184	53.798404
1-A18	-63.188087	31.380784	65.443004
1-A19	-57.616887	2.254284	77.691304
1-A20	-69.165887	2.551984	66.307904
1-A21	-78.806587	3.370684	54.565604
1-A22	-87.142887	3.699184	39.329904
1-A23	-91.668787	4.142084	23.677504
1-A24	-96.200387	2.529384	7.720104
1-A25	-97.121387	3.274784	-7.944496
1-A26	-90.203387	-27.792116	-9.735196
1-A27	-90.566587	-26.813616	5.828104
1-A28	-86.086587	-27.017716	23.099304
1-A29	-81.325787	-26.572016	37.716204
1-A30	-74.771787	-25.424216	55.048504
1-A31	-62.436887	-27.405416	67.586704
1-B3	-37.984687	-45.237416	75.034604
1-B4	-46.568687	-51.728616	64.222504
1-B5	-63.028287	-48.173416	52.754304
1-B6	-70.130187	-48.863116	39.868204
1-B7	-71.124487	-53.279016	21.886804
1-B8	-74.663887	-53.645116	3.975204
1-B9	-75.941387	-51.117716	-13.292396
1-B10	-56.620187	-69.635616	0.465604
1-B11	-53.759787	-68.500816	16.453404
1-B12	-48.428887	-67.549916	33.432004
1-B13	-46.678287	-61.298716	50.115104
1-B14	-28.053587	-79.771916	13.276804
1-B15	-24.990487	-78.067016	30.129004
1-B16	-23.221487	-73.142416	46.439304
1-B17	-25.966687	-64.570316	61.003404
1-B18	-19.374487	-53.547216	72.931204
1-B19	-18.604187	-36.507616	84.437604
1-B20	4.150613	-31.314216	86.290604
1-B21	5.305913	-46.619816	80.498104
1-B22	4.120013	-59.006716	70.456104
1-B23	4.872613	-69.715016	58.425804
1-B24	0.915313	-76.986716	45.891504
