name	x	y	z
1-A1	1.527827	-4.322377	86.551417
1-A2	-16.154573	-5.769477	86.509217
1-A3	-29.313773	-6.183677	83.262317
1-A4	-45.415973	-5.313977	75.122517
1-A5	-56.851473	21.211223	63.875517
1-A6	-39.823273	45.659423	63.182717
1-A7	-49.987173	48.861623	52.933217
1-A8	-64.588073	45.442123	38.651617
1-A9	-68.619773	49.075823	21.216417
1-A10	-71.322773	49.694623	5.656417
1-A12	-64.182973	46.461823	-30.165283
1-A13	-83.065873	24.097523	-27.452083
1-A14	-88.014773	24.522423	-13.227383
1-A15	-90.187873	25.635123	4.694517
1-A16	-86.907973	24.987923	22.713517
1-A17	-78.133473	23.436923	38.877717
1-A18	-67.753673	26.373623	51.474617
1-A19	-59.777373	-5.400877	63.170917
1-A20	-71.944973	-4.970277	50.642117
1-A21	-82.896273	-4.908877	37.192517
1-A22	-90.800873	-5.091777	22.607117
1-A23	-94.765373	-3.338077	5.129117
1-A24	-94.371373	-3.484377	-11.693483
1-A25	-88.808273	-2.602377	-26.896683
1-A26	-81.256073	-27.609177	-29.763983
1-A27	-85.421473	-29.090177	-13.846083
1-A28	-87.765573	-32.448477	3.538617
1-A29	-84.335673	-32.413477	20.022317
1-A30	-76.195173	-32.737177	36.619517
1-A31	-64.910973	-33.631977	51.751517
1-A32	-55.616473	-31.603877	62.592917
1-B1	-5.769273	-19.534677	84.044117
1-B2	-19.512473	-27.571177	81.036817
1-B3	-39.543273	-51.353777	61.008617
1-B4	-45.672073	-56.610777	49.278617
1-B5	-62.724373	-51.781377	34.852217
1-B6	-68.761173	-51.698177	19.069217
1-B7	-67.512573	-54.605477	1.340517
1-B8	-66.806473	-51.670077	-15.759683
1-B9	-63.109473	-46.013077	-33.575783
1-B10	-45.455373	-63.084177	-18.718883
1-B11	-46.325373	-65.878477	-1.652483
1-B12	-44.260373	-66.281377	16.002817
1-B13	-44.868973	-63.821977	30.547317
1-B14	-20.684073	-74.020077	-2.928483
1-B15	-18.909373	-73.112977	12.894417
1-B16	-19.650573	-71.702977	31.943817
1-B17	-24.834073	-66.735477	45.502817
1-B18	-20.869173	-57.289477	61.243217
1-B19	-21.170473	-41.901577	73.506617
1-B20	-0.308673	-34.325677	77.352517
1-B21	1.191227	-49.785877	68.381617
1-B22	2.889627	-60.880377	57.585817
1-B23	4.274127	-68.544177	45.385917
1-B24	3.455127	-73.037477	30.654017
1-B25	5.009427	-75.600977	13.723417
1-B26	5.630327	-76.335177	-0.855383
1-B27	32.008027	-71.655377	-0.053483
1-B28	31.203327	-71.522277	15.282717
1-B29	29.313527	-68.195477	31.179817
1-B30	30.622227	-61.283477	44.588817
1-B31	25.377727	-52.020477	58.147017
1-B32	24.797227	-36.631877	70.935117
1-C1	15.380027	-11.601677	82.090617
1-C2	23.783127	-24.053977	76.356017
1-C3	46.270927	-43.464777	56.529717
1-C4	55.297927	-47.503877	46.233417
1-C5	51.385827	-58.530277	33.919217
1-C6	56.679927	-62.654177	17.730117
1-C7	60.222927	-62.815577	0.191717
1-C9	77.898027	-49.087877	20.606917
1-C10	71.289327	-45.390077	33.989617
1-C11	42.277727	-23.959277	68.679917
1-C12	60.800327	-23.891077	59.374717
1-C13	74.109127	-25.597277	48.852617
1-C14	84.098527	-23.348277	38.392417
1-C15	93.003327	-26.264277	24.424317
1-C18	97.253627	2.448623	27.076617
1-C19	89.179427	1.172023	39.699117
1-C20	78.333027	1.428523	50.643617
1-C21	64.208327	1.130823	60.962617
1-C22	48.686927	0.011423	69.446817
1-C23	31.801127	-1.119277	77.194817
1-C24	42.608227	22.955423	69.369617
1-C25	59.215127	26.064523	59.459117
1-C26	70.521027	28.359223	49.436917
1-C27	82.758827	27.665223	38.607017
1-C28	91.522727	30.030023	24.928617
1-C31	76.350227	50.287723	22.867617
1-C32	70.269627	45.398623	36.106917
1-D1	13.919027	5.422423	83.959617
1-D2	23.159127	21.873723	77.972417
1-D3	43.702727	43.978023	58.797817
1-D4	52.149127	48.857423	48.126117
1-D5	47.658227	59.859923	34.896917
1-D6	52.244427	65.084923	19.869717
1-D7	55.995127	66.189023	0.943317
1-D8	29.479927	72.466423	1.774817
1-D9	27.622427	72.317323	18.486117
1-D10	25.169627	68.386623	34.590717
1-D11	26.708827	61.448023	47.229517
1-D12	22.416427	51.086423	61.479217
1-D13	20.852927	36.074523	73.211417
1-D14	-1.894973	27.805123	81.172417
1-D15	-5.051173	14.049823	85.712017
1-D16	-21.324873	19.136023	83.817217
1-D17	-22.323673	35.501423	76.860917
1-D18	1.579127	45.149423	71.957917
1-D19	0.566227	56.716323	62.505217
1-D20	0.494427	65.483423	50.814317
1-D21	2.002627	71.812523	34.366117
1-D22	3.481227	74.871123	18.448917
1-D23	4.343627	75.837623	0.693017
1-D24	-22.826273	73.342823	1.710417
1-D25	-23.339773	71.797123	18.228717
1-D26	-24.778873	68.900523	34.428517
1-D27	-26.437673	62.383323	50.897617
1-D28	-23.303173	52.221823	64.274117
1-D29	-45.284973	60.873023	36.330117
1-D30	-47.734973	63.706423	19.762017
1-D31	-47.319073	65.211823	2.325017
1-D32	-45.824673	63.309123	-16.426983
1-EXG1	n/a	n/a	n/a
1-EXG2	n/a	n/a	n/a
1-EXG3	n/a	n/a	n/a
1-EXG4	n/a	n/a	n/a
1-EXG5	n/a	n/a	n/a
1-EXG6	n/a	n/a	n/a
1-EXG7	n/a	n/a	n/a
1-EXG8	n/a	n/a	n/a
2-A1	n/a	n/a	n/a
2-A2	n/a	n/a	n/a
2-A3	n/a	n/a	n/a
2-A4	n/a	n/a	n/a
2-A5	n/a	n/a	n/a
2-A6	n/a	n/a	n/a
2-A7	n/a	n/a	n/a
2-A8	n/a	n/a	n/a
2-A9	n/a	n/a	n/a
2-A10	n/a	n/a	n/a
2-A11	n/a	n/a	n/a
2-A12	n/a	n/a	n/a
2-A13	n/a	n/a	n/a
2-A14	n/a	n/a	n/a
2-A15	n/a	n/a	n/a
2-A16	n/a	n/a	n/a
2-A17	n/a	n/a	n/a
2-A18	n/a	n/a	n/a
2-A19	n/a	n/a	n/a
2-A20	n/a	n/a	n/a
2-A21	n/a	n/a	n/a
2-A22	n/a	n/a	n/a
2-A23	n/a	n/a	n/a
2-A24	n/a	n/a	n/a
2-A25	n/a	n/a	n/a
2-A26	n/a	n/a	n/a
2-A27	n/a	n/a	n/a
2-A28	n/a	n/a	n/a
2-A29	n/a	n/a	n/a
2-A30	n/a	n/a	n/a
2-A31	n/a	n/a	n/a
2-A32	n/a	n/a	n/a
2-B1	n/a	n/a	n/a
2-B2	n/a	n/a	n/a
2-B3	n/a	n/a	n/a
2-B4	n/a	n/a	n/a
2-B5	n/a	n/a	n/a
2-B6	n/a	n/a	n/a
2-B7	n/a	n/a	n/a
2-B8	n/a	n/a	n/a
2-B10	n/a	n/a	n/a
2-B11	n/a	n/a	n/a
2-B12	n/a	n/a	n/a
2-B13	n/a	n/a	n/a
2-B14	n/a	n/a	n/a
2-B15	n/a	n/a	n/a
2-B16	n/a	n/a	n/a
2-B17	n/a	n/a	n/a
2-B18	n/a	n/a	n/a
2-B19	n/a	n/a	n/a
2-B21	n/a	n/a	n/a
2-B22	n/a	n/a	n/a
2-B23	n/a	n/a	n/a
2-B24	n/a	n/a	n/a
2-B25	n/a	n/a	n/a
2-B26	n/a	n/a	n/a
2-B27	n/a	n/a	n/a
2-B28	n/a	n/a	n/a
2-B29	n/a	n/a	n/a
2-B30	n/a	n/a	n/a
2-B31	n/a	n/a	n/a
2-B32	n/a	n/a	n/a
2-C1	n/a	n/a	n/a
2-C2	n/a	n/a	n/a
2-C3	n/a	n/a	n/a
2-C4	n/a	n/a	n/a
2-C5	n/a	n/a	n/a
2-C6	n/a	n/a	n/a
2-C7	n/a	n/a	n/a
2-C8	n/a	n/a	n/a
2-C9	n/a	n/a	n/a
2-C10	n/a	n/a	n/a
2-C11	n/a	n/a	n/a
2-C12	n/a	n/a	n/a
2-C13	n/a	n/a	n/a
2-C14	n/a	n/a	n/a
2-C15	n/a	n/a	n/a
2-C16	n/a	n/a	n/a
2-C17	n/a	n/a	n/a
2-C18	n/a	n/a	n/a
2-C19	n/a	n/a	n/a
2-C20	n/a	n/a	n/a
2-C21	n/a	n/a	n/a
2-C22	n/a	n/a	n/a
2-C23	n/a	n/a	n/a
2-C24	n/a	n/a	n/a
2-C25	n/a	n/a	n/a
2-C26	n/a	n/a	n/a
2-C27	n/a	n/a	n/a
2-C28	n/a	n/a	n/a
2-C29	n/a	n/a	n/a
2-C30	n/a	n/a	n/a
2-C31	n/a	n/a	n/a
2-C32	n/a	n/a	n/a
2-D1	n/a	n/a	n/a
2-D2	n/a	n/a	n/a
2-D3	n/a	n/a	n/a
2-D4	n/a	n/a	n/a
2-D5	n/a	n/a	n/a
2-D6	n/a	n/a	n/a
2-D7	n/a	n/a	n/a
2-D8	n/a	n/a	n/a
2-D9	n/a	n/a	n/a
2-D10	n/a	n/a	n/a
2-D11	n/a	n/a	n/a
2-D12	n/a	n/a	n/a
2-D13	n/a	n/a	n/a
2-D14	n/a	n/a	n/a
2-D15	n/a	n/a	n/a
2-D16	n/a	n/a	n/a
2-D17	n/a	n/a	n/a
2-D18	n/a	n/a	n/a
2-D19	n/a	n/a	n/a
2-D20	n/a	n/a	n/a
2-D21	n/a	n/a	n/a
2-D22	n/a	n/a	n/a
2-D23	n/a	n/a	n/a
2-D24	n/a	n/a	n/a
2-D25	n/a	n/a	n/a
2-D26	n/a	n/a	n/a
2-D27	n/a	n/a	n/a
2-D28	n/a	n/a	n/a
2-D29	n/a	n/a	n/a
2-D30	n/a	n/a	n/a
2-D31	n/a	n/a	n/a
2-D32	n/a	n/a	n/a
Fz1	n/a	n/a	n/a
Fz2	n/a	n/a	n/a
