name	x	y	z
1-A1	0.660172	1.895464	91.884836
1-A2	-18.474728	0.171364	92.084136
1-A3	-33.408128	0.137264	89.916536
1-A4	-47.589228	-1.369936	82.873536
1-A5	-59.464628	27.806264	69.978236
1-A6	-41.855428	50.718564	67.321036
1-A7	-52.420028	54.742264	55.676336
1-A8	-68.373728	52.962064	42.497136
1-A9	-74.007428	56.871064	23.801636
1-A10	-77.015828	57.181264	7.439236
1-A11	-75.959228	56.159664	-12.498564
1-A12	-75.088828	50.632564	-28.966164
1-A13	-93.027328	26.289764	-25.313864
1-A14	-95.145628	29.260364	-8.055564
1-A15	-93.901428	29.955264	9.487436
1-A16	-89.454128	30.891664	25.391736
1-A17	-80.913028	29.711164	43.160136
1-A18	-71.035928	32.308764	57.433536
1-A19	-62.119828	-0.499236	70.883636
1-A20	-74.202628	0.760964	57.777536
1-A21	-83.329928	0.572964	43.792936
1-A22	-91.230128	0.051664	27.036136
1-A23	-96.046328	0.718164	10.925736
1-A24	-98.007128	-1.216036	-6.318664
1-A25	-96.668028	-1.051336	-23.784264
1-A26	-86.872628	-28.498336	-23.851864
1-A27	-90.383028	-29.591436	-8.164264
1-A28	-89.369828	-29.964436	9.537536
1-A29	-84.141928	-29.106336	27.534036
1-A30	-77.105628	-27.245736	44.129236
1-A31	-66.168728	-28.783436	57.112836
1-A32	-54.879828	-24.821436	71.285136
1-B1	-4.196728	-17.172536	89.363436
1-B2	-20.594728	-25.874036	87.023236
1-B3	-39.150828	-46.917236	69.456936
1-B4	-47.436928	-53.035236	55.582636
1-B5	-63.191728	-48.549336	41.293936
1-B6	-69.595528	-49.558436	26.482436
1-B7	-69.350028	-54.287636	8.040236
1-B8	-71.219628	-52.656636	-10.102764
1-B9	-69.241028	-49.943836	-27.743964
1-B10	-49.991128	-66.965536	-12.445864
1-B11	-49.531828	-67.372836	5.177436
1-B12	-45.879828	-66.059936	23.614936
1-B13	-46.109728	-61.825936	38.783836
1-B14	-23.342928	-76.783336	4.712936
1-B15	-20.821228	-74.558336	20.801436
1-B16	-20.383528	-70.898636	37.927436
1-B17	-24.730428	-63.250036	54.201336
1-B18	-21.115628	-54.312036	68.674936
1-B19	-21.765528	-37.985836	82.078236
1-B20	-1.162328	-31.620336	84.481936
1-B21	2.518672	-47.420136	75.480636
1-B22	3.398172	-58.337636	65.247236
1-B23	4.956972	-67.406436	52.035736
1-B24	3.926472	-73.353436	36.360136
1-B25	3.949572	-76.769836	19.706336
1-B26	4.195872	-78.673936	5.222036
1-B27	31.504172	-75.527036	5.290136
1-B28	31.123772	-74.437736	21.669136
1-B29	28.927772	-69.824136	37.938436
1-B30	31.082672	-61.693236	52.111836
1-B31	26.942472	-52.945436	63.912736
1-B32	26.164072	-36.551536	76.429836
1-C1	15.103072	-7.826836	89.041536
1-C2	26.181472	-22.760136	82.740036
1-C3	48.500272	-43.568636	63.864036
1-C4	56.795872	-49.400636	52.775836
1-C5	53.177772	-60.924236	38.350036
1-C6	57.262372	-65.699536	23.458236
1-C7	60.654572	-67.246536	6.942636
1-C8	84.854772	-54.030036	8.382136
1-C9	79.146772	-51.855236	24.286136
1-C10	71.029272	-47.237536	40.900036
1-C11	44.563272	-23.650436	76.156136
1-C12	62.827372	-25.417536	67.757636
1-C13	76.283472	-26.990336	55.706036
1-C14	87.651772	-26.234036	43.798836
1-C15	95.972572	-28.237236	29.824536
1-C16	102.343272	-29.444136	15.494036
1-C17	104.347772	-0.698536	18.787036
1-C18	100.020772	-0.064236	31.685636
1-C19	92.216972	0.695864	43.942936
1-C20	81.141372	-0.050236	56.678036
1-C21	67.215872	0.660364	68.523836
1-C22	52.135772	1.542364	77.296336
1-C23	34.051272	1.753564	84.720636
1-C24	42.738772	25.381764	75.718436
1-C25	60.392872	26.723364	64.079736
1-C26	70.843672	28.191164	53.542636
1-C27	82.209472	27.034864	42.003136
1-C28	90.991772	28.049564	29.100436
1-C29	96.291472	26.728064	14.925236
1-C31	74.860672	47.241764	22.642736
1-C32	69.389372	43.417764	38.029236
1-D1	12.953572	10.120764	89.071436
1-D2	24.103072	23.881264	83.887736
1-D3	43.013472	44.918364	61.665636
1-D4	51.488072	47.735364	50.142536
1-D5	46.371872	58.788964	35.033036
1-D6	49.528572	62.838864	18.335036
1-D7	53.336972	62.956164	1.276336
1-D8	26.092072	72.226864	-0.330864
1-D9	24.075372	72.224664	16.127636
1-D10	22.775672	68.413464	33.631936
1-D11	25.546872	62.140864	47.840136
1-D12	24.957472	52.428264	63.365236
1-D13	21.856672	37.315364	76.934236
1-D14	-2.679228	32.438364	83.546736
1-D15	-6.195228	18.005164	89.196236
1-D16	-21.358928	25.464664	87.731236
1-D17	-23.491628	41.039764	80.118336
1-D18	-0.129228	49.113464	74.352436
1-D19	-0.880828	58.924564	64.060436
1-D20	-1.409228	67.418864	51.892336
1-D21	-0.433328	73.550164	33.442736
1-D22	0.229672	76.807364	15.729636
1-D23	-0.236528	77.738964	-0.420764
1-D24	-27.952328	78.809664	1.580536
1-D25	-28.779828	77.341464	18.376636
1-D26	-27.848928	74.008164	34.026236
1-D27	-27.508828	67.140464	51.924236
1-D28	-24.352128	57.683364	66.519736
1-D29	-50.858028	66.302664	37.671336
1-D30	-54.402928	70.255064	20.455436
1-D31	-54.672028	72.673464	2.401236
1-D32	-55.477028	70.487864	-15.114364
1-EXG1	n/a	n/a	n/a
1-EXG2	n/a	n/a	n/a
1-EXG3	n/a	n/a	n/a
1-EXG4	n/a	n/a	n/a
1-EXG5	n/a	n/a	n/a
1-EXG6	n/a	n/a	n/a
1-EXG7	n/a	n/a	n/a
1-EXG8	n/a	n/a	n/a
2-A1	n/a	n/a	n/a
2-A2	n/a	n/a	n/a
2-A3	n/a	n/a	n/a
2-A4	n/a	n/a	n/a
2-A5	n/a	n/a	n/a
2-A6	n/a	n/a	n/a
2-A7	n/a	n/a	n/a
2-A8	n/a	n/a	n/a
2-A9	n/a	n/a	n/a
2-A10	n/a	n/a	n/a
2-A11	n/a	n/a	n/a
2-A12	n/a	n/a	n/a
2-A13	n/a	n/a	n/a
2-A14	n/a	n/a	n/a
2-A15	n/a	n/a	n/a
2-A16	n/a	n/a	n/a
2-A17	n/a	n/a	n/a
2-A18	n/a	n/a	n/a
2-A19	n/a	n/a	n/a
2-A20	n/a	n/a	n/a
2-A21	n/a	n/a	n/a
2-A22	n/a	n/a	n/a
2-A23	n/a	n/a	n/a
2-A24	n/a	n/a	n/a
2-A25	n/a	n/a	n/a
2-A26	n/a	n/a	n/a
2-A27	n/a	n/a	n/a
2-A28	n/a	n/a	n/a
2-A29	n/a	n/a	n/a
2-A30	n/a	n/a	n/a
2-A31	n/a	n/a	n/a
2-A32	n/a	n/a	n/a
2-B1	n/a	n/a	n/a
2-B2	n/a	n/a	n/a
2-B3	n/a	n/a	n/a
2-B4	n/a	n/a	n/a
2-B5	n/a	n/a	n/a
2-B6	n/a	n/a	n/a
2-B7	n/a	n/a	n/a
2-B8	n/a	n/a	n/a
2-B9	n/a	n/a	n/a
2-B10	n/a	n/a	n/a
2-B11	n/a	n/a	n/a
2-B12	n/a	n/a	n/a
2-B13	n/a	n/a	n/a
2-B14	n/a	n/a	n/a
2-B15	n/a	n/a	n/a
2-B16	n/a	n/a	n/a
