onset	duration	sample	value
0.4843750000	n/a	248	9633791
2.9335937500	n/a	1502	RHS
3.2421875000	n/a	1660	LTO
3.7832031250	n/a	1937	LHS
4.0839843750	n/a	2091	RTO
4.6367187500	n/a	2374	RHS
4.9628906250	n/a	2541	LTO
5.4609375000	n/a	2796	LHS
5.7597656250	n/a	2949	RTO
6.2871093750	n/a	3219	RHS
6.5507812500	n/a	3354	TRIG
6.5976562500	n/a	3378	LTO
7.1406250000	n/a	3656	LHS
7.4726562500	n/a	3826	RTO
8.0000000000	n/a	4096	RHS
8.3222656250	n/a	4261	LTO
8.5507812500	n/a	4378	TRIG
8.8144531250	n/a	4513	LHS
9.1347656250	n/a	4677	RTO
9.6679687500	n/a	4950	RHS
10.0058593750	n/a	5123	LTO
10.5136718750	n/a	5383	LHS
10.5507812500	n/a	5402	TRIG
10.8183593750	n/a	5539	RTO
11.3046875000	n/a	5788	RHS
11.5996093750	n/a	5939	LTO
12.1406250000	n/a	6216	LHS
12.4609375000	n/a	6380	RTO
12.5507812500	n/a	6426	TRIG
12.9628906250	n/a	6637	RHS
13.2617187500	n/a	6790	LTO
13.7792968750	n/a	7055	LHS
14.0898437500	n/a	7214	RTO
14.5507812500	n/a	7450	TRIG
14.5937500000	n/a	7472	RHS
14.8886718750	n/a	7623	LTO
15.4453125000	n/a	7908	LHS
15.7773437500	n/a	8078	RTO
16.2851562500	n/a	8338	RHS
16.5507812500	n/a	8474	TRIG
16.6191406250	n/a	8509	LTO
17.0878906250	n/a	8749	LHS
17.3964843750	n/a	8907	RTO
17.9218750000	n/a	9176	RHS
18.2109375000	n/a	9324	LTO
18.5507812500	n/a	9498	TRIG
18.7343750000	n/a	9592	LHS
19.0488281250	n/a	9753	RTO
19.5625000000	n/a	10016	RHS
19.8574218750	n/a	10167	LTO
20.3945312500	n/a	10442	LHS
20.5507812500	n/a	10522	TRIG
20.6914062500	n/a	10594	RTO
21.1953125000	n/a	10852	RHS
21.4902343750	n/a	11003	LTO
22.0078125000	n/a	11268	LHS
22.3261718750	n/a	11431	RTO
22.5507812500	n/a	11546	TRIG
22.8085937500	n/a	11678	RHS
23.0937500000	n/a	11824	LTO
23.5839843750	n/a	12075	LHS
23.9082031250	n/a	12241	RTO
24.4023437500	n/a	12494	RHS
24.5507812500	n/a	12570	TRIG
24.7089843750	n/a	12651	LTO
25.1972656250	n/a	12901	LHS
25.5097656250	n/a	13061	RTO
25.9863281250	n/a	13305	RHS
26.2832031250	n/a	13457	LTO
26.5507812500	n/a	13594	TRIG
26.7500000000	n/a	13696	LHS
27.0625000000	n/a	13856	RTO
27.5371093750	n/a	14099	RHS
27.8378906250	n/a	14253	LTO
28.3457031250	n/a	14513	LHS
28.5507812500	n/a	14618	TRIG
28.6757812500	n/a	14682	RTO
29.1582031250	n/a	14929	RHS
29.4355468750	n/a	15071	LTO
29.9863281250	n/a	15353	LHS
30.2890625000	n/a	15508	RTO
30.5507812500	n/a	15642	TRIG
30.7988281250	n/a	15769	RHS
31.1328125000	n/a	15940	LTO
31.5644531250	n/a	16161	LHS
31.8671875000	n/a	16316	RTO
32.3710937500	n/a	16574	RHS
32.5507812500	n/a	16666	TRIG
32.6601562500	n/a	16722	LTO
33.1503906250	n/a	16973	LHS
33.4707031250	n/a	17137	RTO
33.9687500000	n/a	17392	RHS
34.2539062500	n/a	17538	LTO
34.5507812500	n/a	17690	TRIG
34.7402343750	n/a	17787	LHS
35.0742187500	n/a	17958	RTO
35.5800781250	n/a	18217	RHS
35.8828125000	n/a	18372	LTO
36.3671875000	n/a	18620	LHS
36.5507812500	n/a	18714	TRIG
36.6757812500	n/a	18778	RTO
37.2011718750	n/a	19047	RHS
37.5234375000	n/a	19212	LTO
38.0156250000	n/a	19464	LHS
38.3398437500	n/a	19630	RTO
38.5507812500	n/a	19738	TRIG
38.8066406250	n/a	19869	RHS
39.0742187500	n/a	20006	LTO
39.5937500000	n/a	20272	LHS
39.9003906250	n/a	20429	RTO
40.4179687500	n/a	20694	RHS
40.5507812500	n/a	20762	TRIG
40.7109375000	n/a	20844	LTO
41.2050781250	n/a	21097	LHS
41.5097656250	n/a	21253	RTO
41.9960937500	n/a	21502	RHS
42.2949218750	n/a	21655	LTO
42.5507812500	n/a	21786	TRIG
42.7968750000	n/a	21912	LHS
43.1250000000	n/a	22080	RTO
43.6347656250	n/a	22341	RHS
43.9257812500	n/a	22490	LTO
44.4726562500	n/a	22770	LHS
44.5507812500	n/a	22810	TRIG
44.7968750000	n/a	22936	RTO
45.2851562500	n/a	23186	RHS
45.6171875000	n/a	23356	LTO
46.0976562500	n/a	23602	LHS
46.4140625000	n/a	23764	RTO
46.5507812500	n/a	23834	TRIG
46.9160156250	n/a	24021	RHS
47.2226562500	n/a	24178	LTO
47.7304687500	n/a	24438	LHS
48.0625000000	n/a	24608	RTO
48.5507812500	n/a	24858	TRIG
48.5703125000	n/a	24868	RHS
48.8710937500	n/a	25022	LTO
49.3750000000	n/a	25280	LHS
49.6757812500	n/a	25434	RTO
50.2011718750	n/a	25703	RHS
50.5019531250	n/a	25857	LTO
50.5507812500	n/a	25882	TRIG
50.9902343750	n/a	26107	LHS
51.2753906250	n/a	26253	RTO
51.8027343750	n/a	26523	RHS
52.1191406250	n/a	26685	LTO
52.5507812500	n/a	26906	TRIG
52.6269531250	n/a	26945	LHS
52.9726562500	n/a	27122	RTO
53.4746093750	n/a	27379	RHS
53.7714843750	n/a	27531	LTO
54.2714843750	n/a	27787	LHS
54.5507812500	n/a	27930	TRIG
54.5781250000	n/a	27944	RTO
55.1152343750	n/a	28219	RHS
55.4531250000	n/a	28392	LTO
55.9394531250	n/a	28641	LHS
56.2539062500	n/a	28802	RTO
56.5507812500	n/a	28954	TRIG
56.7714843750	n/a	29067	RHS
57.0664062500	n/a	29218	LTO
57.5742187500	n/a	29478	LHS
57.8847656250	n/a	29637	RTO
58.4140625000	n/a	29908	RHS
58.5507812500	n/a	29978	TRIG
58.7148437500	n/a	30062	LTO
59.2167968750	n/a	30319	LHS
59.5332031250	n/a	30481	RTO
60.0410156250	n/a	30741	RHS
60.3281250000	n/a	30888	LTO
60.5507812500	n/a	31002	TRIG
60.8574218750	n/a	31159	LHS
61.1582031250	n/a	31313	RTO
61.7031250000	n/a	31592	RHS
61.9960937500	n/a	31742	LTO
62.4843750000	n/a	31992	LHS
62.5507812500	n/a	32026	TRIG
62.7949218750	n/a	32151	RTO
63.3007812500	n/a	32410	RHS
63.6015625000	n/a	32564	LTO
64.1035156250	n/a	32821	LHS
64.3945312500	n/a	32970	RTO
64.5507812500	n/a	33050	TRIG
64.9335937500	n/a	33246	RHS
65.2382812500	n/a	33402	LTO
65.7343750000	n/a	33656	LHS
66.0273437500	n/a	33806	RTO
66.5507812500	n/a	34074	TRIG
66.5898437500	n/a	34094	RHS
66.8945312500	n/a	34250	LTO
67.4023437500	n/a	34510	LHS
67.7050781250	n/a	34665	RTO
68.2324218750	n/a	34935	RHS
68.5507812500	n/a	35098	TRIG
68.5546875000	n/a	35100	LTO
69.0859375000	n/a	35372	LHS
69.4062500000	n/a	35536	RTO
69.9101562500	n/a	35794	RHS
70.2011718750	n/a	35943	LTO
70.5507812500	n/a	36122	TRIG
70.7363281250	n/a	36217	LHS
71.0390625000	n/a	36372	RTO
71.5742187500	n/a	36646	RHS
71.8847656250	n/a	36805	LTO
72.3574218750	n/a	37047	LHS
72.5507812500	n/a	37146	TRIG
72.6738281250	n/a	37209	RTO
73.1679687500	n/a	37462	RHS
73.4453125000	n/a	37604	LTO
73.9492187500	n/a	37862	LHS
74.2402343750	n/a	38011	RTO
74.5507812500	n/a	38170	TRIG
74.7578125000	n/a	38276	RHS
75.0507812500	n/a	38426	LTO
75.5625000000	n/a	38688	LHS
75.8554687500	n/a	38838	RTO
76.3535156250	n/a	39093	RHS
76.5488281250	n/a	39193	TRIG
76.6367187500	n/a	39238	LTO
