name	x	y	z
1-A1	3.530928	-0.301465	89.509591
1-A2	-10.490572	-0.588065	90.949191
1-A3	-26.963672	0.867035	89.792991
1-A4	-44.708372	-0.835165	83.625291
1-A5	-54.300272	24.826535	72.521791
1-A6	-39.054172	46.740235	69.145791
1-A7	-46.618572	52.649635	58.557391
1-A8	-63.793972	49.595135	44.895091
1-A9	-69.880472	52.189535	29.339591
1-A10	-72.451272	53.549235	12.103491
1-A11	-73.439172	52.913335	-2.985709
1-A12	-73.225372	50.585435	-19.466409
1-A13	-90.815072	27.547735	-12.759709
1-A14	-91.232172	27.712935	1.697191
1-A15	-89.653372	28.015735	16.661991
1-A16	-85.109872	28.702335	31.076991
1-A17	-76.714972	28.229035	47.068391
1-A18	-64.713772	30.938735	60.840391
1-A19	-58.240972	-0.053465	74.802591
1-A20	-70.753972	0.916035	61.823091
1-A21	-81.764372	0.743635	49.225391
1-A22	-89.145672	1.476135	35.076891
1-A23	-94.086372	1.977535	19.290191
1-A24	-95.741072	0.699635	3.495291
1-A25	-95.830272	1.042635	-11.397709
1-A26	-88.899772	-26.995765	-13.839209
1-A27	-89.986872	-27.108765	1.105991
1-A28	-87.510372	-28.409465	16.057991
1-A29	-83.125072	-28.581965	33.274591
1-A30	-76.917472	-26.672565	48.297391
1-A31	-65.496372	-28.507565	61.370691
1-B1	-0.552772	-19.341065	87.569291
1-B2	-18.149572	-24.772365	87.088491
1-B3	-41.141172	-48.111765	66.722691
1-B4	-49.630672	-52.141365	56.507591
1-B5	-62.911872	-48.990165	44.431991
1-B6	-67.731072	-50.844665	29.013491
1-B7	-71.950072	-49.883265	11.813091
1-B8	-72.402572	-49.922865	-4.345809
1-B9	-72.599172	-46.671665	-21.055109
1-B10	-52.703372	-65.023865	-7.421409
1-B11	-50.029872	-67.665065	7.084891
1-B12	-48.338572	-67.046765	24.505191
1-B13	-46.015572	-64.280965	39.500491
1-B14	-26.040972	-77.471165	4.958891
1-B15	-25.587072	-76.974265	18.518091
1-B16	-24.257172	-74.541665	33.374091
1-B17	-28.562672	-67.147465	49.363191
1-B18	-21.022072	-58.163965	63.862191
1-B19	-19.796372	-43.039365	78.352591
1-B20	3.821428	-33.448265	82.422191
1-B21	2.788528	-48.551565	73.871991
1-B22	2.333028	-61.785065	60.142991
1-B23	-1.897872	-71.922565	47.119891
1-B24	-0.311072	-76.930365	33.370591
1-B25	0.113028	-80.457565	16.660091
1-B26	0.428228	-80.826765	2.791091
1-B27	24.773728	-77.613265	0.049291
1-B28	26.554328	-76.991065	16.114591
1-B29	25.620628	-73.503665	32.323591
1-B30	26.083128	-67.107865	44.816291
1-B31	23.777828	-56.580965	60.167791
1-B32	23.773828	-41.407565	72.233091
1-C1	17.235128	-10.614765	86.037891
1-C2	24.890928	-24.616165	79.602291
1-C3	45.953928	-44.381665	60.612091
1-C4	50.458528	-51.502165	48.838791
1-C5	48.250228	-64.390965	33.060491
1-C6	50.483828	-68.383765	16.604891
1-C7	48.122528	-70.568865	0.267191
1-C8	73.095628	-57.464565	5.124491
1-C9	71.854428	-53.865365	21.566491
1-C10	67.552228	-49.572965	36.047791
1-C11	43.014528	-24.646765	73.123791
1-C12	59.307228	-26.297265	63.557991
1-C13	70.982628	-30.044165	51.720191
1-C14	82.533228	-29.962365	39.563991
1-C15	89.244228	-35.039965	26.131391
1-C16	95.194028	-35.179565	11.318191
1-C17	104.527728	-4.605365	15.887991
1-C18	99.651228	-4.351565	29.470591
1-C19	91.183628	-5.610565	40.691891
1-C20	78.665628	-3.858665	55.099891
1-C21	65.013128	-1.911065	66.076291
1-C22	51.753528	-0.655465	73.422291
1-C23	34.940728	-2.134465	80.240891
1-C24	43.925128	20.601435	73.844291
1-C25	62.536428	19.497335	65.338691
1-C26	72.720928	22.012335	54.222491
1-C27	84.614828	21.782235	41.384491
1-C28	92.376228	24.757235	28.730191
1-C29	97.909428	28.482435	14.032891
1-C30	76.663728	53.318835	9.990391
1-C31	73.559828	48.810735	25.529391
1-C32	69.296628	42.185735	40.029991
1-D1	18.482228	8.770735	85.105691
1-D2	26.121428	21.262635	79.541191
1-D3	47.668128	38.589835	62.408191
1-D4	55.838928	43.656735	51.831891
1-D5	50.744628	57.485435	36.370291
1-D6	52.960228	63.940635	21.871791
1-D7	53.232628	67.496135	5.360891
1-D8	26.504728	75.081535	6.123391
1-D9	27.858828	73.631535	20.218891
1-D10	26.645028	69.242235	35.611991
1-D11	31.433628	60.249835	50.202191
1-D12	28.570428	51.509635	62.099391
1-D13	27.140928	37.680935	72.997191
1-D14	4.303128	29.798335	82.906391
1-D15	0.906528	13.501035	88.753491
1-D16	-17.563272	22.070835	86.947391
1-D17	-16.630772	39.980035	79.219191
1-D18	4.320328	43.533335	75.957191
1-D19	3.061328	57.260535	63.516891
1-D20	2.822428	67.572935	51.494591
1-D21	0.711028	75.302735	35.565991
1-D22	0.421728	77.943935	22.238491
1-D23	0.885628	78.550535	6.226591
1-D24	-25.776972	77.140935	7.605391
1-D25	-24.527072	76.279735	21.694091
1-D26	-22.632772	73.772135	38.063491
1-D27	-22.651572	66.565035	53.277391
1-D28	-19.075172	55.807835	66.694691
1-D29	-45.051572	64.993435	41.436591
1-D30	-48.148372	68.868435	24.788591
1-D31	-51.119972	68.635535	7.357391
1-D32	-53.861972	66.880735	-6.669809
1-EXG1	n/a	n/a	n/a
1-EXG2	n/a	n/a	n/a
1-EXG3	n/a	n/a	n/a
1-EXG4	n/a	n/a	n/a
1-EXG5	n/a	n/a	n/a
1-EXG6	n/a	n/a	n/a
1-EXG7	n/a	n/a	n/a
1-EXG8	n/a	n/a	n/a
2-A1	n/a	n/a	n/a
2-A2	n/a	n/a	n/a
2-A3	n/a	n/a	n/a
2-A4	n/a	n/a	n/a
2-A5	n/a	n/a	n/a
2-A6	n/a	n/a	n/a
2-A7	n/a	n/a	n/a
2-A8	n/a	n/a	n/a
2-A9	n/a	n/a	n/a
2-A10	n/a	n/a	n/a
2-A11	n/a	n/a	n/a
