name	x	y	z
1-A1	7.508754	-2.685483	88.389101
1-A2	-8.946046	-0.937683	89.898501
1-A3	-24.773746	0.215617	87.665001
1-A4	-40.016246	3.027517	83.008401
1-A5	-49.381146	31.850217	75.665501
1-A6	-28.314646	52.035217	72.236801
1-A7	-39.370046	56.577617	63.497901
1-A8	-55.326146	57.189017	50.495001
1-A9	-59.369646	62.413617	34.178701
1-A10	-63.621346	63.393417	17.478201
1-A11	-63.555746	63.699017	-1.280999
1-A12	-66.078046	61.601917	-19.856299
1-A13	-84.256046	38.899617	-14.745999
1-A14	-85.614446	39.539417	2.899601
1-A15	-83.019546	40.040917	19.349701
1-A16	-77.898946	39.046117	35.274601
1-A17	-70.241946	37.258717	52.429801
1-A18	-60.080846	37.902317	64.670801
1-A19	-54.428946	6.238517	75.536301
1-A20	-67.986646	7.344717	65.246601
1-A21	-77.447746	8.951217	52.934101
1-A22	-85.534146	9.048217	37.114401
1-A23	-90.790046	10.432617	19.978801
1-A24	-92.275546	10.090317	4.881501
1-A25	-91.645446	10.083117	-12.152899
1-A26	-89.544346	-19.645783	-13.927599
1-A27	-90.582646	-19.657683	2.255401
1-A28	-89.295946	-19.507383	19.637701
1-A29	-83.926546	-19.010083	35.780901
1-A30	-76.119246	-18.845983	51.781801
1-A31	-65.230546	-23.302683	63.601301
1-A32	-53.942446	-22.017283	73.956001
1-B1	-0.602246	-17.164383	88.929601
1-B2	-16.932946	-23.561283	87.596501
1-B3	-40.222746	-44.541083	72.366501
1-B4	-50.187746	-48.997783	60.753401
1-B5	-65.009046	-43.305783	48.490001
1-B6	-71.960146	-42.560583	33.876601
1-B7	-74.933546	-46.276683	15.715001
1-B8	-77.983746	-45.928983	-0.156099
1-B9	-79.215646	-44.249883	-18.806999
1-B10	-60.807346	-62.908083	-4.983199
1-B11	-57.749446	-63.457983	11.172701
1-B12	-53.679246	-62.817283	29.841201
1-B13	-51.976246	-58.798783	44.033601
1-B14	-34.338946	-74.554983	6.555601
